,CORANI,MISICUNI,MIGUILLA,ANGOSTURA
2020-01-05 04:00:00+00:00,0.275249932,0.499776514,0.269078093,0.233410595
2020-01-05 05:00:00+00:00,0.275472104,0.499887957,0.269316787,0.233594683
2020-01-05 06:00:00+00:00,0.275662886,0.499986727,0.269526634,0.233757052
2020-01-05 07:00:00+00:00,0.275820902,0.500071774,0.26970558,0.233896059
2020-01-05 08:00:00+00:00,0.275945257,0.500142223,0.26985199,0.234010365
2020-01-05 09:00:00+00:00,0.276035515,0.500197372,0.26996463,0.234098938
2020-01-05 10:00:00+00:00,0.276091667,0.500236694,0.27004266,0.234161039
2020-01-05 11:00:00+00:00,0.276114112,0.500259835,0.270085627,0.234196225
2020-01-05 12:00:00+00:00,0.276103624,0.500266608,0.270093455,0.234204335
2020-01-05 13:00:00+00:00,0.276061329,0.500256999,0.270066431,0.234185494
2020-01-05 14:00:00+00:00,0.275988682,0.50023116,0.270005203,0.2341401
2020-01-05 15:00:00+00:00,0.275887434,0.500189411,0.269910766,0.234068824
2020-01-05 16:00:00+00:00,0.275759611,0.500132236,0.269784452,0.233972603
2020-01-05 17:00:00+00:00,0.275607489,0.500060284,0.269627926,0.233852636
2020-01-05 18:00:00+00:00,0.275433562,0.499974368,0.269443169,0.233710374
2020-01-05 19:00:00+00:00,0.275240521,0.49987546,0.269232476,0.233547524
2020-01-05 20:00:00+00:00,0.275031227,0.499764694,0.268998442,0.233366033
2020-01-05 21:00:00+00:00,0.274808685,0.499643363,0.268743955,0.233168093
2020-01-05 22:00:00+00:00,0.274576014,0.499512917,0.268472184,0.232956128
2020-01-05 23:00:00+00:00,0.274336428,0.499374963,0.268186574,0.232732794
2020-01-06 00:00:00+00:00,0.274093203,0.499231262,0.267890833,0.23250097
2020-01-06 01:00:00+00:00,0.273849656,0.49908373,0.267588923,0.232263756
2020-01-06 02:00:00+00:00,0.273609117,0.498934427,0.26728504,0.232024456
2020-01-06 03:00:00+00:00,0.273374897,0.498785536,0.266983569,0.231786541
2020-01-06 04:00:00+00:00,0.273150265,0.498639326,0.266689023,0.231553599
2020-01-06 05:00:00+00:00,0.272938417,0.498498127,0.266405988,0.231329294
2020-01-06 06:00:00+00:00,0.272742447,0.498364295,0.266139062,0.23111731
2020-01-06 07:00:00+00:00,0.272565318,0.49824018,0.265892803,0.23092131
2020-01-06 08:00:00+00:00,0.272409835,0.498128098,0.265671662,0.230744885
2020-01-06 09:00:00+00:00,0.272278613,0.498030294,0.265479934,0.230591508
2020-01-06 10:00:00+00:00,0.272174053,0.497948917,0.265321694,0.230464483
2020-01-06 11:00:00+00:00,0.272098311,0.497885983,0.265200744,0.230366905
2020-01-06 12:00:00+00:00,0.272053268,0.497843347,0.265120549,0.230301602
2020-01-06 13:00:00+00:00,0.272040502,0.49782267,0.265084185,0.230271098
2020-01-06 14:00:00+00:00,0.272061262,0.497825388,0.265094278,0.230277556
2020-01-06 15:00:00+00:00,0.272116435,0.497852681,0.265152947,0.230322737
2020-01-06 16:00:00+00:00,0.272206522,0.497905439,0.265261745,0.23040795
2020-01-06 17:00:00+00:00,0.272331606,0.497984235,0.265421602,0.230534003
2020-01-06 18:00:00+00:00,0.272491322,0.498089289,0.265632769,0.230701159
2020-01-06 19:00:00+00:00,0.272684835,0.49822044,0.265894756,0.230909084
2020-01-06 20:00:00+00:00,0.272910802,0.498377113,0.266206276,0.231156804
2020-01-06 21:00:00+00:00,0.273167353,0.498558286,0.266565188,0.231442652
2020-01-06 22:00:00+00:00,0.273452054,0.498762463,0.266968439,0.231764227
2020-01-06 23:00:00+00:00,0.273761884,0.498987636,0.267412005,0.23211834
2020-01-07 00:00:00+00:00,0.274093203,0.499231262,0.267890833,0.23250097
2020-01-07 01:00:00+00:00,0.274441726,0.499490223,0.268398786,0.232907218
2020-01-07 02:00:00+00:00,0.274802525,0.49976083,0.268928635,0.233331298
2020-01-07 03:00:00+00:00,0.275170098,0.500038874,0.269472172,0.233766632
2020-01-07 04:00:00+00:00,0.275538476,0.500319719,0.270020379,0.23420598
2020-01-07 05:00:00+00:00,0.275901322,0.500598384,0.270563586,0.234641575
2020-01-07 06:00:00+00:00,0.276252037,0.500869628,0.271091641,0.235065253
2020-01-07 07:00:00+00:00,0.276583857,0.501128039,0.271594073,0.235468594
2020-01-07 08:00:00+00:00,0.276889964,0.50136812,0.27206026,0.235843044
2020-01-07 09:00:00+00:00,0.277163581,0.501584373,0.272479592,0.23618006
2020-01-07 10:00:00+00:00,0.277398081,0.501771385,0.272841634,0.236471235
2020-01-07 11:00:00+00:00,0.277587086,0.501923916,0.273136296,0.236708437
2020-01-07 12:00:00+00:00,0.27772457,0.502036986,0.273353998,0.236883936
2020-01-07 13:00:00+00:00,0.277804963,0.502105957,0.273485829,0.236990546
2020-01-07 14:00:00+00:00,0.277823255,0.502126623,0.273523719,0.237021749
2020-01-07 15:00:00+00:00,0.277775096,0.502095294,0.273460603,0.236971837
2020-01-07 16:00:00+00:00,0.277656899,0.502008883,0.273290583,0.236836039
2020-01-07 17:00:00+00:00,0.277465945,0.501864991,0.273009095,0.236610658
2020-01-07 18:00:00+00:00,0.277200485,0.501661996,0.272613076,0.236293202
2020-01-07 19:00:00+00:00,0.276859843,0.501399133,0.272101128,0.235882519
2020-01-07 20:00:00+00:00,0.276444515,0.50107659,0.271473681,0.235378931
2020-01-07 21:00:00+00:00,0.275956278,0.500695582,0.270733162,0.234784365
2020-01-07 22:00:00+00:00,0.275398289,0.500258448,0.269884157,0.234102488
2020-01-07 23:00:00+00:00,0.274775188,0.49976873,0.26893358,0.233338841
2020-01-08 00:00:00+00:00,0.274093203,0.499231262,0.267890833,0.23250097
2020-01-08 01:00:00+00:00,0.273360246,0.498652254,0.266767973,0.231598559
2020-01-08 02:00:00+00:00,0.272585953,0.498039322,0.265579764,0.230643476
2020-01-08 03:00:00+00:00,0.271781547,0.497401379,0.264343477,0.229649604
2020-01-08 04:00:00+00:00,0.270959644,0.496748482,0.263078577,0.228632598
2020-01-08 05:00:00+00:00,0.270134052,0.496091661,0.261806413,0.22760963
2020-01-08 06:00:00+00:00,0.269319569,0.495442762,0.260549902,0.226599137
2020-01-08 07:00:00+00:00,0.268531786,0.494814287,0.25933322,0.22562057
2020-01-08 08:00:00+00:00,0.267786883,0.494219225,0.258181485,0.224694142
2020-01-08 09:00:00+00:00,0.267101434,0.493670896,0.257120447,0.223840573
2020-01-08 10:00:00+00:00,0.266492202,0.493182785,0.256176174,0.223080844
2020-01-08 11:00:00+00:00,0.265975941,0.492768383,0.255374739,0.222435941
2020-01-08 12:00:00+00:00,0.265569197,0.492441022,0.254741908,0.221926601
2020-01-08 13:00:00+00:00,0.265288105,0.492213714,0.254302825,0.221573067
2020-01-08 14:00:00+00:00,0.265148191,0.492098989,0.254081702,0.221394829
2020-01-08 15:00:00+00:00,0.265164172,0.492108735,0.254101504,0.221410376
2020-01-08 16:00:00+00:00,0.265349756,0.492254031,0.254383636,0.221636942
2020-01-08 17:00:00+00:00,0.265717438,0.492544988,0.254947631,0.222090256
2020-01-08 18:00:00+00:00,0.266278306,0.492990587,0.255810838,0.222784289
2020-01-08 19:00:00+00:00,0.267041836,0.493598516,0.256988106,0.223731003
2020-01-08 20:00:00+00:00,0.268015697,0.494375008,0.258491475,0.224940096
2020-01-08 21:00:00+00:00,0.269205543,0.495324679,0.26032986,0.226418753
2020-01-08 22:00:00+00:00,0.270614821,0.496450365,0.26250874,0.228171395
2020-01-08 23:00:00+00:00,0.272244566,0.497752962,0.265029842,0.230199423
2020-01-09 00:00:00+00:00,0.274093203,0.499231262,0.267890833,0.23250097
2020-01-09 01:00:00+00:00,0.276156349,0.500881793,0.271085009,0.235070651
2020-01-09 02:00:00+00:00,0.278426716,0.502698742,0.274601143,0.237899441
2020-01-09 03:00:00+00:00,0.28089426,0.504674073,0.278423713,0.240974858
2020-01-09 04:00:00+00:00,0.283546426,0.506797726,0.282533292,0.244281277
2020-01-09 05:00:00+00:00,0.286368402,0.50905782,0.286906931,0.247800239
