,ANGOSTURA,CORANI,MIGUILLA,MISICUNI
1997-05-30 13:00:00+00:00,0.6414216536918138,3.2781959722081546,0.4516016188235294,3.22355545956375
1997-05-30 14:00:00+00:00,0.6414216536918138,3.2781959722081546,0.4516016188235294,3.22355545956375
1997-05-30 15:00:00+00:00,0.6414216536918138,3.2781959722081546,0.4516016188235294,3.22355545956375
1997-05-30 16:00:00+00:00,0.6414216536918138,3.2781959722081546,0.4516016188235294,3.22355545956375
1997-05-30 17:00:00+00:00,0.6414216536918138,3.2781959722081546,0.4516016188235294,3.22355545956375
1997-05-30 18:00:00+00:00,0.6414216536918138,3.2781959722081546,0.4516016188235294,3.22355545956375
1997-05-30 19:00:00+00:00,0.6414216536918138,3.2781959722081546,0.4516016188235294,3.22355545956375
1997-05-30 20:00:00+00:00,0.6414216536918138,3.2781959722081546,0.4516016188235294,3.22355545956375
1997-05-30 21:00:00+00:00,0.6414216536918138,3.2781959722081546,0.4516016188235294,3.22355545956375
1997-05-30 22:00:00+00:00,0.6414216536918138,3.2781959722081546,0.4516016188235294,3.22355545956375
1997-05-30 23:00:00+00:00,0.6414216536918138,3.2781959722081546,0.4516016188235294,3.22355545956375
1997-05-31 00:00:00+00:00,0.6328693649759229,3.256265050928112,0.4516016188235294,3.1950894894900004
1997-05-31 01:00:00+00:00,0.6328693649759229,3.256265050928112,0.4516016188235294,3.1950894894900004
1997-05-31 02:00:00+00:00,0.6328693649759229,3.256265050928112,0.4516016188235294,3.1950894894900004
1997-05-31 03:00:00+00:00,0.6328693649759229,3.256265050928112,0.4516016188235294,3.1950894894900004
1997-05-31 04:00:00+00:00,0.6328693649759229,3.256265050928112,0.4516016188235294,3.1950894894900004
1997-05-31 05:00:00+00:00,0.6328693649759229,3.256265050928112,0.4516016188235294,3.1950894894900004
1997-05-31 06:00:00+00:00,0.6328693649759229,3.256265050928112,0.4516016188235294,3.1950894894900004
1997-05-31 07:00:00+00:00,0.6328693649759229,3.256265050928112,0.4516016188235294,3.1950894894900004
1997-05-31 08:00:00+00:00,0.6328693649759229,3.256265050928112,0.4516016188235294,3.1950894894900004
1997-05-31 09:00:00+00:00,0.6328693649759229,3.256265050928112,0.4516016188235294,3.1950894894900004
1997-05-31 10:00:00+00:00,0.6328693649759229,3.256265050928112,0.4516016188235294,3.1950894894900004
1997-05-31 11:00:00+00:00,0.6328693649759229,3.256265050928112,0.4516016188235294,3.1950894894900004
1997-05-31 12:00:00+00:00,0.6328693649759229,3.256265050928112,0.4516016188235294,3.1950894894900004
1997-05-31 13:00:00+00:00,0.6328693649759229,3.256265050928112,0.4516016188235294,3.1950894894900004
1997-05-31 14:00:00+00:00,0.6328693649759229,3.256265050928112,0.4516016188235294,3.1950894894900004
1997-05-31 15:00:00+00:00,0.6328693649759229,3.256265050928112,0.4516016188235294,3.1950894894900004
1997-05-31 16:00:00+00:00,0.6328693649759229,3.256265050928112,0.4516016188235294,3.1950894894900004
1997-05-31 17:00:00+00:00,0.6328693649759229,3.256265050928112,0.4516016188235294,3.1950894894900004
1997-05-31 18:00:00+00:00,0.6328693649759229,3.256265050928112,0.4516016188235294,3.1950894894900004
1997-05-31 19:00:00+00:00,0.6328693649759229,3.256265050928112,0.4516016188235294,3.1950894894900004
1997-05-31 20:00:00+00:00,0.6328693649759229,3.256265050928112,0.4516016188235294,3.1950894894900004
1997-05-31 21:00:00+00:00,0.6328693649759229,3.256265050928112,0.4516016188235294,3.1950894894900004
1997-05-31 22:00:00+00:00,0.6328693649759229,3.256265050928112,0.4516016188235294,3.1950894894900004
1997-05-31 23:00:00+00:00,0.6328693649759229,3.256265050928112,0.4516016188235294,3.1950894894900004
1997-06-01 00:00:00+00:00,0.624317076260032,3.244822831129828,0.4516016188235294,3.181287807030001
1997-06-01 01:00:00+00:00,0.624317076260032,3.244822831129828,0.4516016188235294,3.181287807030001
1997-06-01 02:00:00+00:00,0.624317076260032,3.244822831129828,0.4516016188235294,3.181287807030001
1997-06-01 03:00:00+00:00,0.624317076260032,3.244822831129828,0.4516016188235294,3.181287807030001
1997-06-01 04:00:00+00:00,0.624317076260032,3.244822831129828,0.4516016188235294,3.181287807030001
1997-06-01 05:00:00+00:00,0.624317076260032,3.244822831129828,0.4516016188235294,3.181287807030001
1997-06-01 06:00:00+00:00,0.624317076260032,3.244822831129828,0.4516016188235294,3.181287807030001
1997-06-01 07:00:00+00:00,0.624317076260032,3.244822831129828,0.4516016188235294,3.181287807030001
1997-06-01 08:00:00+00:00,0.624317076260032,3.244822831129828,0.4516016188235294,3.181287807030001
1997-06-01 09:00:00+00:00,0.624317076260032,3.244822831129828,0.4516016188235294,3.181287807030001
1997-06-01 10:00:00+00:00,0.624317076260032,3.244822831129828,0.4516016188235294,3.181287807030001
1997-06-01 11:00:00+00:00,0.624317076260032,3.244822831129828,0.4516016188235294,3.181287807030001
1997-06-01 12:00:00+00:00,0.624317076260032,3.244822831129828,0.4516016188235294,3.181287807030001
1997-06-01 13:00:00+00:00,0.624317076260032,3.244822831129828,0.4516016188235294,3.181287807030001
1997-06-01 14:00:00+00:00,0.624317076260032,3.244822831129828,0.4516016188235294,3.181287807030001
