,BANDA AZUL,CANAHUECAL,CORANI,ICONA,JATUN PAMPA,MISICUNI,MOLINEROS,SAN JOSE 1,SAN JOSE 2,SANTA ISABEL,SERIPOMA
1984-04-01 15:00:00,0.6003274212244899,7.1908819541532,1.8017145313533331,5.2153430518323525,5.3511565963872485,2.708580182775,16.1392041432675,2.573068968474546,3.305367201091305,1.0755530904929032,7.18697456523
1984-04-01 16:00:00,0.6003274212244899,7.1908819541532,1.8017145313533331,5.2153430518323525,5.3511565963872485,2.708580182775,16.1392041432675,2.573068968474546,3.305367201091305,1.0755530904929032,7.18697456523
1984-04-01 17:00:00,0.6003274212244899,7.1908819541532,1.8017145313533331,5.2153430518323525,5.3511565963872485,2.708580182775,16.1392041432675,2.573068968474546,3.305367201091305,1.0755530904929032,7.18697456523
1984-04-01 18:00:00,0.6003274212244899,7.1908819541532,1.8017145313533331,5.2153430518323525,5.3511565963872485,2.708580182775,16.1392041432675,2.573068968474546,3.305367201091305,1.0755530904929032,7.18697456523
1984-04-01 19:00:00,0.6003274212244899,7.1908819541532,1.8017145313533331,5.2153430518323525,5.3511565963872485,2.708580182775,16.1392041432675,2.573068968474546,3.305367201091305,1.0755530904929032,7.18697456523
1984-04-01 20:00:00,0.6003274212244899,7.1908819541532,1.8017145313533331,5.2153430518323525,5.3511565963872485,2.708580182775,16.1392041432675,2.573068968474546,3.305367201091305,1.0755530904929032,7.18697456523
1984-04-01 21:00:00,0.6003274212244899,7.1908819541532,1.8017145313533331,5.2153430518323525,5.3511565963872485,2.708580182775,16.1392041432675,2.573068968474546,3.305367201091305,1.0755530904929032,7.18697456523
1984-04-01 22:00:00,0.6003274212244899,7.1908819541532,1.8017145313533331,5.2153430518323525,5.3511565963872485,2.708580182775,16.1392041432675,2.573068968474546,3.305367201091305,1.0755530904929032,7.18697456523
1984-04-01 23:00:00,0.6003274212244899,7.1908819541532,1.8017145313533331,5.2153430518323525,5.3511565963872485,2.708580182775,16.1392041432675,2.573068968474546,3.305367201091305,1.0755530904929032,7.18697456523
1984-04-02 00:00:00,0.5455172828571428,6.2322569427564005,1.6381317542100002,4.739606031388235,4.637787431041109,4.440691331505,12.9140088592275,2.338688155958182,3.003858693665218,0.9770221138809677,6.228864567846
