,QUEHATA,VALLE DE ZONGO - BOTIJILACA,VALLE DE ZONGO - CAHUA,VALLE DE ZONGO - CHURURAQUI,VALLE DE ZONGO - CUTICUCHO,VALLE DE ZONGO - HARCA,VALLE DE ZONGO - HUAJI,VALLE DE ZONGO - SAINANI,YANACACHI
2020-08-03 03:00:00+00:00,0.041460054,0.244641425,0.375405535,0.386739244,0.205997292,0.407856896,0.366266641,0.407776797,0.109890232
2020-08-03 04:00:00+00:00,0.041742095,0.244641425,0.375405535,0.386739244,0.205997292,0.407856896,0.366266641,0.407776797,0.109890232
2020-08-03 05:00:00+00:00,0.042024136,0.244641425,0.375405535,0.386739244,0.205997292,0.407856896,0.366266641,0.407776797,0.109890232
2020-08-03 06:00:00+00:00,4.23E-02,0.244641425,0.375405535,0.386739244,0.205997292,0.407856896,0.366266641,0.407776797,0.109890232
2020-08-03 07:00:00+00:00,0.042588219,0.244641425,0.375405535,0.386739244,0.205997292,0.407856896,0.366266641,0.407776797,0.109890232
2020-08-03 08:00:00+00:00,0.04287026,0.244641425,0.375405535,0.386739244,0.205997292,0.407856896,0.366266641,0.407776797,0.109890232
2020-08-03 09:00:00+00:00,0.043152301,0.244641425,0.375405535,0.386739244,0.205997292,0.407856896,0.366266641,0.407776797,0.109890232
2020-08-03 10:00:00+00:00,0.043434342,0.244641425,0.375405535,0.386739244,0.205997292,0.407856896,0.366266641,0.407776797,0.109890232
2020-08-03 11:00:00+00:00,0.043716383,0.244641425,0.375405535,0.386739244,0.205997292,0.407856896,0.366266641,0.407776797,0.109890232
2020-08-03 12:00:00+00:00,0.043998425,0.244641425,0.375405535,0.386739244,0.205997292,0.407856896,0.366266641,0.407776797,0.109890232
2020-08-03 13:00:00+00:00,0.044280466,0.244641425,0.375405535,0.386739244,0.205997292,0.407856896,0.366266641,0.407776797,0.109890232
2020-08-03 14:00:00+00:00,0.044562507,0.244641425,0.375405535,0.386739244,0.205997292,0.407856896,0.366266641,0.407776797,0.109890232
2020-08-03 15:00:00+00:00,0.044844548,0.244641425,0.375405535,0.386739244,0.205997292,0.407856896,0.366266641,0.407776797,0.109890232
2020-08-03 16:00:00+00:00,0.045126589,0.244641425,0.375405535,0.386739244,0.205997292,0.407856896,0.366266641,0.407776797,0.109890232
2020-08-03 17:00:00+00:00,0.04540863,0.244641425,0.375405535,0.386739244,0.205997292,0.407856896,0.366266641,0.407776797,0.109890232
2020-08-03 18:00:00+00:00,0.045690672,0.244641425,0.375405535,0.386739244,0.205997292,0.407856896,0.366266641,0.407776797,0.109890232
2020-08-03 19:00:00+00:00,0.045972713,0.244641425,0.375405535,0.386739244,0.205997292,0.407856896,0.366266641,0.407776797,0.109890232
2020-08-03 20:00:00+00:00,0.046254754,0.244641425,0.375405535,0.386739244,0.205997292,0.407856896,0.366266641,0.407776797,0.109890232
2020-08-03 21:00:00+00:00,0.046536795,0.244641425,0.375405535,0.386739244,0.205997292,0.407856896,0.366266641,0.407776797,0.109890232
2020-08-03 22:00:00+00:00,0.046818836,0.244641425,0.375405535,0.386739244,0.205997292,0.407856896,0.366266641,0.407776797,0.109890232
2020-08-03 23:00:00+00:00,0.047100878,0.244641425,0.375405535,0.386739244,0.205997292,0.407856896,0.366266641,0.407776797,0.109890232
2020-08-04 00:00:00+00:00,0.047382919,0.244641425,0.375405535,0.386739244,0.205997292,0.407856896,0.366266641,0.407776797,0.109890232
2020-08-04 01:00:00+00:00,0.047100878,0.244641425,0.375405535,0.386739244,0.205997292,0.407856896,0.366266641,0.407776797,0.109890232
2020-08-04 02:00:00+00:00,0.046818836,0.244641425,0.375405535,0.386739244,0.205997292,0.407856896,0.366266641,0.407776797,0.109890232
2020-08-04 03:00:00+00:00,0.046536795,0.244641425,0.375405535,0.386739244,0.205997292,0.407856896,0.366266641,0.407776797,0.109890232
2020-08-04 04:00:00+00:00,0.046254754,0.244641425,0.375405535,0.386739244,0.205997292,0.407856896,0.366266641,0.407776797,0.109890232
2020-08-04 05:00:00+00:00,0.045972713,0.244641425,0.375405535,0.386739244,0.205997292,0.407856896,0.366266641,0.407776797,0.109890232
2020-08-04 06:00:00+00:00,0.045690672,0.244641425,0.375405535,0.386739244,0.205997292,0.407856896,0.366266641,0.407776797,0.109890232
2020-08-04 07:00:00+00:00,0.04540863,0.244641425,0.375405535,0.386739244,0.205997292,0.407856896,0.366266641,0.407776797,0.109890232
2020-08-04 08:00:00+00:00,0.045126589,0.244641425,0.375405535,0.386739244,0.205997292,0.407856896,0.366266641,0.407776797,0.109890232
2020-08-04 09:00:00+00:00,0.044844548,0.244641425,0.375405535,0.386739244,0.205997292,0.407856896,0.366266641,0.407776797,0.109890232
2020-08-04 10:00:00+00:00,0.044562507,0.244641425,0.375405535,0.386739244,0.205997292,0.407856896,0.366266641,0.407776797,0.109890232
2020-08-04 11:00:00+00:00,0.044280466,0.244641425,0.375405535,0.386739244,0.205997292,0.407856896,0.366266641,0.407776797,0.109890232
2020-08-04 12:00:00+00:00,0.043998425,0.244641425,0.375405535,0.386739244,0.205997292,0.407856896,0.366266641,0.407776797,0.109890232
2020-08-04 13:00:00+00:00,0.043716383,0.244641425,0.375405535,0.386739244,0.205997292,0.407856896,0.366266641,0.407776797,0.109890232
2020-08-04 14:00:00+00:00,0.043434342,0.244641425,0.375405535,0.386739244,0.205997292,0.407856896,0.366266641,0.407776797,0.109890232
2020-08-04 15:00:00+00:00,0.043152301,0.244641425,0.375405535,0.386739244,0.205997292,0.407856896,0.366266641,0.407776797,0.109890232
2020-08-04 16:00:00+00:00,0.04287026,0.244641425,0.375405535,0.386739244,0.205997292,0.407856896,0.366266641,0.407776797,0.109890232
2020-08-04 17:00:00+00:00,0.042588219,0.244641425,0.375405535,0.386739244,0.205997292,0.407856896,0.366266641,0.407776797,0.109890232
2020-08-04 18:00:00+00:00,0.042306177,0.244641425,0.375405535,0.386739244,0.205997292,0.407856896,0.366266641,0.407776797,0.109890232
2020-08-04 19:00:00+00:00,0.042024136,0.244641425,0.375405535,0.386739244,0.205997292,0.407856896,0.366266641,0.407776797,0.109890232
2020-08-04 20:00:00+00:00,0.041742095,0.244641425,0.375405535,0.386739244,0.205997292,0.407856896,0.366266641,0.407776797,0.109890232
2020-08-04 21:00:00+00:00,0.041460054,0.244641425,0.375405535,0.386739244,0.205997292,0.407856896,0.366266641,0.407776797,0.109890232
2020-08-04 22:00:00+00:00,0.041178013,0.244641425,0.375405535,0.386739244,0.205997292,0.407856896,0.366266641,0.407776797,0.109890232
2020-08-04 23:00:00+00:00,0.040895972,0.244641425,0.375405535,0.386739244,0.205997292,0.407856896,0.366266641,0.407776797,0.109890232
2020-08-05 00:00:00+00:00,0.04061393,0.244641425,0.375405535,0.386739244,0.205997292,0.407856896,0.366266641,0.407776797,0.109890232
