,SISTEMA ZONGO,VALLE DE ZONGO - TIQUIMANI,VALLE DE ZONGO - SANTA ROSA,CHOJLLA
2020-02-24 01:00:00+00:00,0.857933745,0.835270186,0.923448589,0.800957029
2020-02-24 02:00:00+00:00,0.857913075,0.834954366,0.923364467,0.800812895
2020-02-24 03:00:00+00:00,0.857886005,0.834654754,0.923282796,0.800672461
2020-02-24 04:00:00+00:00,0.857853294,0.834375096,0.923204704,0.800537691
2020-02-24 05:00:00+00:00,0.857815901,0.834118809,0.923131284,0.800410511
2020-02-24 06:00:00+00:00,0.857774952,0.833888975,0.923063589,0.800292783
2020-02-24 07:00:00+00:00,0.857731713,0.833688333,0.923002619,0.800186297
2020-02-24 08:00:00+00:00,0.85768756,0.833519272,0.922949315,0.800092747
2020-02-24 09:00:00+00:00,0.857643949,0.833383825,0.92290455,0.800013716
2020-02-24 10:00:00+00:00,0.857602386,0.833283661,0.922869119,0.799950658
2020-02-24 11:00:00+00:00,0.857564399,0.833220081,0.922843727,0.799904882
2020-02-24 12:00:00+00:00,0.857531508,0.833194006,0.922828986,0.799877532
2020-02-24 13:00:00+00:00,0.857505196,0.833205977,0.9228254,0.799869571
2020-02-24 14:00:00+00:00,0.857486877,0.833256141,0.922833361,0.799881762
2020-02-24 15:00:00+00:00,0.857477869,0.833344249,0.922853136,0.799914653
2020-02-24 16:00:00+00:00,0.857479364,0.833469649,0.92288486,0.799968558
2020-02-24 17:00:00+00:00,0.857492399,0.833631276,0.922928525,0.800043539
2020-02-24 18:00:00+00:00,0.857517825,0.833827647,0.922983975,0.80013939
2020-02-24 19:00:00+00:00,0.857556278,0.834056857,0.92305089,0.800255616
2020-02-24 20:00:00+00:00,0.85760815,0.834316566,0.923128786,0.800391422
2020-02-24 21:00:00+00:00,0.857673561,0.834603998,0.923216996,0.800545688
2020-02-24 22:00:00+00:00,0.857752325,0.834915931,0.92331467,0.800716957
2020-02-24 23:00:00+00:00,0.857843925,0.835248691,0.92342076,0.800903416
2020-02-25 00:00:00+00:00,0.857947483,0.835598144,0.923534013,0.801102876
2020-02-25 01:00:00+00:00,0.858061727,0.835959693,0.923652961,0.801312758
2020-02-25 02:00:00+00:00,0.858184986,0.836328288,0.923775925,0.801530094
2020-02-25 03:00:00+00:00,0.85831522,0.836698493,0.923901034,0.801751568
2020-02-25 04:00:00+00:00,0.858450074,0.837064568,0.924026267,0.80197358
2020-02-25 05:00:00+00:00,0.85858693,0.837420557,0.924149478,0.802192307
2020-02-25 06:00:00+00:00,0.858722962,0.837760367,0.924268438,0.802403765
2020-02-25 07:00:00+00:00,0.858855185,0.838077859,0.924380867,0.802603875
2020-02-25 08:00:00+00:00,0.858980514,0.838366927,0.924484466,0.802788518
2020-02-25 09:00:00+00:00,0.859095809,0.838621589,0.924576955,0.802953602
2020-02-25 10:00:00+00:00,0.859197935,0.838836066,0.924656106,0.803095125
2020-02-25 11:00:00+00:00,0.859283812,0.839004869,0.924719776,0.803209233
2020-02-25 12:00:00+00:00,0.859350467,0.839122885,0.924765944,0.803292286
2020-02-25 13:00:00+00:00,0.859395088,0.83918546,0.924792743,0.803340918
2020-02-25 14:00:00+00:00,0.859415077,0.839188484,0.924798496,0.803352099
2020-02-25 15:00:00+00:00,0.859408103,0.839128477,0.924781751,0.803323199
2020-02-25 16:00:00+00:00,0.859372154,0.839002672,0.924741313,0.803252049
2020-02-25 17:00:00+00:00,0.859305592,0.838809101,0.924676279,0.803137002
2020-02-25 18:00:00+00:00,0.859207203,0.838546678,0.924586076,0.802976998
2020-02-25 19:00:00+00:00,0.859076251,0.838215286,0.92447049,0.802771624
2020-02-25 20:00:00+00:00,0.858912533,0.837815862,0.924329705,0.802521175
2020-02-25 21:00:00+00:00,0.85871643,0.837350479,0.924164333,0.802226719
2020-02-25 22:00:00+00:00,0.858488958,0.836822431,0.923975453,0.801890159
2020-02-25 23:00:00+00:00,0.858231826,0.836236321,0.923764643,0.801514293
2020-02-26 00:00:00+00:00,0.857947483,0.835598144,0.923534013,0.801102876
2020-02-26 01:00:00+00:00,0.857639175,0.834915367,0.923286242,0.800660684
2020-02-26 02:00:00+00:00,0.857310962,0.834196959,0.923024587,0.80019353
2020-02-26 03:00:00+00:00,0.85696766,0.83345327,0.922752839,0.799708191
2020-02-26 04:00:00+00:00,0.856614748,0.832695856,0.922475257,0.799212281
2020-02-26 05:00:00+00:00,0.85625828,0.831937301,0.922196501,0.798714135
2020-02-26 06:00:00+00:00,0.855904787,0.831191041,0.921921563,0.798222687
2020-02-26 07:00:00+00:00,0.855561191,0.830471186,0.921655701,0.797747347
2020-02-26 08:00:00+00:00,0.85523471,0.829792342,0.921404369,0.797297883
2020-02-26 09:00:00+00:00,0.854932764,0.829169434,0.921173156,0.796884299
2020-02-26 10:00:00+00:00,0.854662887,0.828617526,0.92096771,0.796516713
2020-02-26 11:00:00+00:00,0.854432631,0.828151649,0.920793676,0.796205235
2020-02-26 12:00:00+00:00,0.854249477,0.827786619,0.92065663,0.795959852
2020-02-26 13:00:00+00:00,0.854120742,0.827536859,0.920562007,0.7957903
2020-02-26 14:00:00+00:00,0.854053485,0.827416226,0.920515034,0.795705944
2020-02-26 15:00:00+00:00,0.854054416,0.82743783,0.920520668,0.795715664
2020-02-26 16:00:00+00:00,0.854129807,0.827613855,0.920583522,0.795827723
2020-02-26 17:00:00+00:00,0.854285394,0.827955388,0.920707802,0.796049657
2020-02-26 18:00:00+00:00,0.854526289,0.828472232,0.920897237,0.796388146
2020-02-26 19:00:00+00:00,0.854856889,0.829172739,0.921155013,0.796848896
2020-02-26 20:00:00+00:00,0.855280779,0.830063624,0.921483707,0.79743652
2020-02-26 21:00:00+00:00,0.855800644,0.831149792,0.921885215,0.798154412
2020-02-26 22:00:00+00:00,0.856418176,0.832434158,0.92236069,0.799004631
2020-02-26 23:00:00+00:00,0.857133979,0.833917474,0.922910469,0.799987779
2020-02-27 00:00:00+00:00,0.857947483,0.835598144,0.923534013,0.801102876
2020-02-27 01:00:00+00:00,0.858856847,0.837472058,0.924229833,0.802347247
2020-02-27 02:00:00+00:00,0.859858918,0.839532499,0.92499546,0.80371646
2020-02-27 03:00:00+00:00,0.860949295,0.841770281,0.9258275,0.805204414
2020-02-27 04:00:00+00:00,0.862122441,0.844173971,0.926721709,0.806803494
2020-02-27 05:00:00+00:00,0.863371797,0.846730114,0.927673084,0.808504721
2020-02-27 06:00:00+00:00,0.864689893,0.849423459,0.928675944,0.810297901
2020-02-27 07:00:00+00:00,0.866068466,0.852237185,0.929724019,0.812171783
2020-02-27 08:00:00+00:00,0.867498565,0.855153125,0.930810529,0.814114208
2020-02-27 09:00:00+00:00,0.868970672,0.858151994,0.931928273,0.81611226
2020-02-27 10:00:00+00:00,0.870474811,0.861213614,0.933069713,0.818152421
2020-02-27 11:00:00+00:00,0.872000659,0.864317138,0.934227056,0.820220722
2020-02-27 12:00:00+00:00,0.873537667,0.867441277,0.935392342,0.822302895
