,CORANI,SANTA ISABEL,SAN JOSE 1,SAN JOSE 2,SISTEMA ZONGO,VALLE DE ZONGO - TIQUIMANI,VALLE DE ZONGO - BOTIJILACA,VALLE DE ZONGO - CUTICUCHO,VALLE DE ZONGO - SANTA ROSA,VALLE DE ZONGO - SAINANI,VALLE DE ZONGO - CHURURAQUI,VALLE DE ZONGO - HARCA,VALLE DE ZONGO - CAHUA,VALLE DE ZONGO - HUAJI,MIGUILLA,ANGOSTURA,CHOQUETANGA,CARABUCO,CHOJLLA,YANACACHI,KILPANI,LANDARA,PUNUTUMA,KANATA,SAN JACINTO,MISICUNI
2020-06-12 00:00:00+00:00,2.427142857,2.622857143,6.338571429,6.338571429,0.127760379,0.137912839,0.557005157,0.965883233,1.568692917,2.010278517,3.487023803,4.669170747,5.814633089,6.895105294,0.127026727,0.137942007,0.280369745,0.946994797,0.890146911,2.061463992,2.394571429,2.394571429,2.394571429,0.224,1.994301859,0.710060382
2020-06-19 00:00:00+00:00,1.604285714,1.808571429,5.412857143,5.412857143,0.099511155,0.109527682,0.554818826,0.950535645,1.626540371,1.997221122,3.366406251,4.496225835,5.621494839,7.337923678,0.115231591,0.125615744,0.27540309,0.94555422,0.797464413,1.832385703,2.386,2.386,2.386,0.219,1.53251777,0.638473898
2020-06-26 00:00:00+00:00,1.001428571,1.13,4.065714286,4.065714286,0.081336835,0.091360028,0.524227962,0.876093954,1.400285716,1.718325923,3.124299578,3.887206903,4.780264367,5.748390702,0.084551877,0.094572191,0.141578448,0.834765502,0.680350606,1.585204701,2.346428571,2.346428571,2.346428571,0.201,1.380860417,0.62533929
2020-07-03 00:00:00+00:00,1.051428571,1.221428571,3.977142857,3.977142857,0.104403951,0.114404394,0.543174434,0.918764899,1.553580903,1.993185133,3.367410694,4.009653871,4.833042726,5.648936388,0.048081144,0.05808855,0.113724562,0.687769968,0.599129738,1.415037833,2.248714286,2.248714286,2.248714286,0.239,1.07658595,0.522857143
2020-07-10 00:00:00+00:00,0.898571429,1.047142857,3.658571429,3.658571429,0.148388201,0.158388958,0.580733251,0.909596912,1.455030669,1.889387698,3.176122238,3.730519815,4.299054797,5.159514671,0.080894691,0.090901412,0.193495603,0.853454668,0.577179499,1.30734569,2.266714286,2.266714286,2.266714286,0.234,1.411720839,0.554285714
2020-07-17 00:00:00+00:00,0.661428571,0.834285714,3.282857143,3.282857143,0.129614912,0.139617835,0.547124446,0.822966815,1.320924925,1.724253647,2.944274477,3.45246482,3.912424614,4.832480217,0.084192183,0.094222957,0.169594354,0.802266609,0.55124226,1.225644466,2.330571429,2.330571429,2.330571429,0.221,0.946210771,0.469224772
2020-07-24 00:00:00+00:00,0.887142857,1.06,3.328571429,3.328571429,0.053295759,0.063296324,0.490568689,0.757716002,1.170548472,1.569713368,2.711831671,3.178818807,3.721983492,4.425830893,0.052989206,0.062989705,0.098476669,0.770912139,0.533932949,1.165179852,2.337428571,2.337428571,2.337428571,0.335,1.216031656,0.477584937
2020-07-31 00:00:00+00:00,0.634285714,0.765714286,2.945714286,2.945714286,0.049577423,0.059578171,0.435146149,0.70860278,1.091533777,1.47189093,2.619428121,3.057074839,3.692162028,4.41877087,0.067936855,0.077940279,0.104785445,0.690304554,0.520399876,1.134133757,2.291857143,2.291857143,2.291857143,0.222,1.248746023,0.466030286
2020-08-07 00:00:00+00:00,0.482857143,0.622857143,2.655714286,2.655714286,0.102427411,0.112922328,0.526201338,0.701240445,1.159143234,1.563882976,2.625108047,2.963318771,3.536065112,4.079645834,0.05969854,0.069698769,0.118575355,0.715970745,0.461521588,0.994362784,2.274142857,2.274142857,2.274142857,0.252,1.224862192,0.500742814
2020-08-14 00:00:00+00:00,0.431428571,0.588571429,2.578571429,2.578571429,0.124311768,0.13431338,0.541954591,0.681980775,1.147593653,1.555776326,2.588630531,2.935398317,3.487740994,3.959216732,0.110727354,0.120729079,0.192981912,0.759835852,0.442107407,0.947848808,2.241142857,2.241142857,2.241142857,0.224,1.241896664,0.413534537
2020-08-21 00:00:00+00:00,1.461428571,1.681428571,4.627142857,4.627142857,0.194238851,0.204239818,0.530060349,0.657011876,1.147424889,1.52483576,2.546266313,2.857311032,3.362575444,4.196957299,0.116387315,0.12638804,0.196773933,0.820916464,0.444428128,0.948642352,2.079571429,2.079571429,2.079571429,0.226,1.332514881,0.661344871
2020-08-28 00:00:00+00:00,1.054285714,1.261428571,3.5,3.5,0.270307738,0.280307969,0.707496786,0.938976341,1.538711923,1.883420513,2.891291936,3.311771306,3.870966319,5.166275764,0.115529837,0.125530707,0.207164198,0.687871988,0.421468217,0.92005972,2.228285714,2.228285714,2.228285714,0.226,1.208730849,0.331894438
2020-09-04 00:00:00+00:00,0.748571429,0.944285714,2.792857143,2.792857143,0.190958819,0.200959198,0.598521123,0.8545464,1.383404354,1.727024832,2.745603259,3.145104889,3.692325615,4.761737657,0.105226339,0.115227726,0.395326677,0.793679191,0.437692089,0.916888556,2.203714286,2.203714286,2.203714286,0.212,1.141278605,0.365347195
2020-09-11 00:00:00+00:00,0.415714286,0.61,2.327142857,2.327142857,0.24653575,0.256536045,0.755127634,1.012890661,1.487386257,1.751681373,2.741961072,3.017248298,3.491257997,4.434554354,0.141972661,0.151973261,0.280671447,0.665982218,0.408167672,0.854699726,2.187714286,2.187714286,2.187714286,0.213,0.585349879,0.291653844
2020-09-18 00:00:00+00:00,0.772857143,0.998571429,2.607142857,2.607142857,0.248557775,0.258558174,0.638957279,0.928966718,1.419382476,1.760813244,2.787171667,3.06989561,3.55400601,5.177083795,0.107713619,0.117718399,0.211127476,0.591674504,0.758963594,1.429378383,2.275,2.275,2.275,0.219,1.321009003,0.388991572
2020-09-25 00:00:00+00:00,0.762857143,1.31,2.992857143,2.992857143,0.168879632,0.18946205,0.586503851,0.951034094,1.468147553,1.895147908,3.054566175,3.512145995,3.931973805,5.177744977,0.113301015,0.144911998,0.260848314,0.683393233,0.9603752,1.853941827,2.187571429,2.187571429,2.187571429,0.249,1.064592059,0.323393818
2020-10-02 00:00:00+00:00,1.604285714,1.854285714,4.295714286,4.295714286,0.148434783,0.158745813,0.478125217,0.800667787,1.473250432,1.82623438,2.999831384,3.559452635,4.055500321,6.085470325,0.088030111,0.098030769,0.212052382,0.600077725,0.800413588,1.61739731,2.240714286,2.240714286,2.240714286,0.218,1.069348589,0.515893562
2020-10-09 00:00:00+00:00,2.041428571,2.357142857,4.675714286,4.675714286,0.156798158,0.172255361,0.570686217,1.223400602,2.568402214,3.150641111,4.60218385,5.370106749,6.082186236,7.593356002,0.114397773,0.124398627,0.258457592,0.701236297,1.193995788,2.570796612,2.192428571,2.192428571,2.192428571,0.216,0.723258851,1.608168878
2020-10-16 00:00:00+00:00,1.411428571,1.761428571,3.887142857,3.887142857,0.148786019,0.158786691,0.631215896,1.524508444,2.64215971,3.344117181,4.993701307,5.737687798,6.139654824,7.281557474,0.105944759,0.125424566,0.233796825,0.600707475,1.350297705,2.493889931,2.174428571,2.174428571,2.174428571,0.298,0.866202652,1.952528238
2020-10-23 00:00:00+00:00,1.925714286,2.201428571,4.84,4.84,0.328708186,0.535735604,1.418505896,2.399948331,3.991447484,4.638810416,6.376086522,7.755061374,8.283459793,10.23019501,0.22062113,0.375384608,0.546541779,1.125700525,2.538351881,4.159213234,2.171285714,2.171285714,2.171285714,0.291,0.952696076,1.689330563
2020-10-30 00:00:00+00:00,2.225714286,2.598571429,5.608571429,5.608571429,0.265473417,0.404049899,1.075945509,1.859863928,3.248860969,3.801020438,5.397454264,6.628629151,7.286574546,9.684018412,0.150651051,0.307619887,0.506095085,1.073260645,1.298927145,2.60755857,2.116857143,2.116857143,2.116857143,0.233,1.614905615,1.065564949
2020-11-06 00:00:00+00:00,1.53,1.858571429,4.458571429,4.458571429,0.294075311,0.330928759,0.815847153,1.386906089,2.663574417,3.339708196,4.599668103,5.332456483,6.031558975,7.895187035,0.17654037,0.344252256,0.533172713,0.920811355,0.980242807,2.319460743,2.072285714,2.072285714,2.072285714,0.254,0.777191135,0.925535202
2020-11-13 00:00:00+00:00,1.31,1.524285714,3.645714286,3.645714286,0.249834656,0.30915531,0.856758272,1.310753782,2.614716233,3.264081151,4.29763097,4.737385427,5.374337566,7.039264527,0.148156812,0.323073969,0.514931324,0.789458224,0.759159409,1.752461715,2.084,2.084,2.084,0.248,1.094795,0.995120723
2020-11-20 00:00:00+00:00,1.082857143,1.332857143,3.597142857,3.597142857,0.318294075,0.328350479,0.875177903,1.289694176,2.299119587,2.84487597,3.86823649,4.298697296,4.825609339,7.051710183,0.174294148,0.327534793,0.481144833,0.83905207,0.629487661,1.491068731,2.090571429,2.090571429,2.090571429,0.245,0.701408071,1.147463478
2020-11-27 00:00:00+00:00,0.7,0.82,3.08,3.08,0.82635986,0.838464602,1.391542598,1.796943228,3.016083466,3.49819615,4.468686849,4.991368725,5.707923421,7.132621013,0.177593084,0.342438795,0.488284437,0.86454658,0.546381733,1.402040799,2.136857143,2.136857143,2.136857143,0.245,1.207476352,0.939136391
2020-12-04 00:00:00+00:00,3.784285714,4.247142857,6.974285714,6.974285714,0.846713774,1.032845036,1.685915542,2.459974623,3.947285921,4.592888067,6.589957882,7.651825643,10.13913557,12.05344603,0.299362018,0.761191051,1.012456187,1.351719362,3.459484917,6.434753543,2.111142857,2.111142857,2.111142857,0.291,3.056510843,1.21670425
2020-12-11 00:00:00+00:00,9.48,10.59714286,17.33285714,17.33285714,0.698415375,1.771286635,2.917968129,4.46977005,6.517299017,7.139179117,10.04745192,11.26530169,15.39824052,19.10527079,0.419265021,1.475154046,1.949159578,2.609027013,6.527671706,11.58121887,2.072857143,2.072857143,2.072857143,0.268,4.42889135,1.385118802
2020-12-18 00:00:00+00:00,5.038571429,5.892857143,11.68142857,11.68142857,0.524196796,0.835271961,1.770650328,2.586895575,4.699985027,5.468011436,8.083446898,9.244669078,13.49884217,17.40819612,0.204858433,1.493585071,1.818283272,2.592992672,2.126217869,4.843596846,2.072857143,2.072857143,2.072857143,0.221,2.247743327,1.459668297
2020-12-31 00:00:00+00:00,5.04,5.89,11.68,11.68,0.52,0.84,1.77,2.59,4.7,5.47,8.08,9.24,13.5,17.41,0.2,1.49,1.82,2.59,2.13,4.84,2.07,2.07,2.07,2.07,2.07,0.22
