,CORANI,SANTA ISABEL,SAN JOSE 1,SAN JOSE 2,MISICUNI,MIGUILLA,ANGOSTURA,CHOQUETANGA,CARABUCO
2020-04-02 00:00:00+00:00,0.905283448,0.905283448,0.905283448,0.905283448,0.890858502,0.941334299,0.985992809,0.963663554,0.963663554
2020-04-03 00:00:00+00:00,0.92945958,0.92945958,0.92945958,0.92945958,0.899447998,0.948721211,0.988687392,0.968704302,0.968704302
2020-04-04 00:00:00+00:00,0.92945958,0.92945958,0.92945958,0.92945958,0.899447998,0.948721211,0.988687392,0.968704302,0.968704302
2020-04-05 00:00:00+00:00,0.92945958,0.92945958,0.92945958,0.92945958,0.899447998,0.948721211,0.988687392,0.968704302,0.968704302
2020-04-06 00:00:00+00:00,0.92945958,0.92945958,0.92945958,0.92945958,0.899447998,0.948721211,0.988687392,0.968704302,0.968704302
2020-04-07 00:00:00+00:00,0.92945958,0.92945958,0.92945958,0.92945958,0.899447998,0.948721211,0.988687392,0.968704302,0.968704302
2020-04-08 00:00:00+00:00,0.92945958,0.92945958,0.92945958,0.92945958,0.899447998,0.948721211,0.988687392,0.968704302,0.968704302
2020-04-09 00:00:00+00:00,0.92945958,0.92945958,0.92945958,0.92945958,0.899447998,0.948721211,0.988687392,0.968704302,0.968704302
2020-04-10 00:00:00+00:00,0.961993879,0.961993879,0.961993879,0.961993879,0.911453273,0.95179103,0.985704982,0.968748006,0.968748006
2020-04-11 00:00:00+00:00,0.961993879,0.961993879,0.961993879,0.961993879,0.911453273,0.95179103,0.985704982,0.968748006,0.968748006
2020-04-12 00:00:00+00:00,0.961993879,0.961993879,0.961993879,0.961993879,0.911453273,0.95179103,0.985704982,0.968748006,0.968748006
2020-04-13 00:00:00+00:00,0.961993879,0.961993879,0.961993879,0.961993879,0.911453273,0.95179103,0.985704982,0.968748006,0.968748006
2020-04-14 00:00:00+00:00,0.961993879,0.961993879,0.961993879,0.961993879,0.911453273,0.95179103,0.985704982,0.968748006,0.968748006
2020-04-15 00:00:00+00:00,0.961993879,0.961993879,0.961993879,0.961993879,0.911453273,0.95179103,0.985704982,0.968748006,0.968748006
2020-04-16 00:00:00+00:00,0.961993879,0.961993879,0.961993879,0.961993879,0.911453273,0.95179103,0.985704982,0.968748006,0.968748006
2020-04-17 00:00:00+00:00,0.971201857,0.971201857,0.971201857,0.971201857,0.914553123,0.952749673,0.988024111,0.970386892,0.970386892
2020-04-18 00:00:00+00:00,0.971201857,0.971201857,0.971201857,0.971201857,0.914553123,0.952749673,0.988024111,0.970386892,0.970386892
2020-04-19 00:00:00+00:00,0.971201857,0.971201857,0.971201857,0.971201857,0.914553123,0.952749673,0.988024111,0.970386892,0.970386892
2020-04-20 00:00:00+00:00,0.971201857,0.971201857,0.971201857,0.971201857,0.914553123,0.952749673,0.988024111,0.970386892,0.970386892
2020-04-21 00:00:00+00:00,0.971201857,0.971201857,0.971201857,0.971201857,0.914553123,0.952749673,0.988024111,0.970386892,0.970386892
2020-04-22 00:00:00+00:00,0.971201857,0.971201857,0.971201857,0.971201857,0.914553123,0.952749673,0.988024111,0.970386892,0.970386892
2020-04-23 00:00:00+00:00,0.971201857,0.971201857,0.971201857,0.971201857,0.914553123,0.952749673,0.988024111,0.970386892,0.970386892
2020-04-24 00:00:00+00:00,0.969153543,0.969153543,0.969153543,0.969153543,0.916239117,0.963520455,0.993005785,0.97826312,0.97826312
2020-04-25 00:00:00+00:00,0.969153543,0.969153543,0.969153543,0.969153543,0.916239117,0.963520455,0.993005785,0.97826312,0.97826312
2020-04-26 00:00:00+00:00,0.969153543,0.969153543,0.969153543,0.969153543,0.916239117,0.963520455,0.993005785,0.97826312,0.97826312
2020-04-27 00:00:00+00:00,0.969153543,0.969153543,0.969153543,0.969153543,0.916239117,0.963520455,0.993005785,0.97826312,0.97826312
