,CORANI,MISICUNI,MIGUILLA,ANGOSTURA
Jul ,0.660769268,0.830209654,0.683277456,0.634023761
Jul ,0.660769268,0.830209654,0.683277456,0.634023761
Jul ,0.660769268,0.830209654,0.683277456,0.634023761
Jul ,0.660769268,0.830209654,0.683277456,0.634023761
Jul ,0.660769268,0.830209654,0.683277456,0.634023761
Jul ,0.6192004,0.823384351,0.63778809,0.583370546
Aug ,0.6192004,0.823384351,0.63778809,0.583370546
Aug ,0.6192004,0.823384351,0.63778809,0.583370546
Aug ,0.6192004,0.823384351,0.63778809,0.583370546
Aug ,0.6192004,0.823384351,0.63778809,0.583370546
Aug ,0.6192004,0.823384351,0.63778809,0.583370546
Aug ,0.6192004,0.823384351,0.63778809,0.583370546
Aug ,0.576753999,0.816590329,0.587756958,0.528977536
Aug ,0.576753999,0.816590329,0.587756958,0.528977536
Aug ,0.576753999,0.816590329,0.587756958,0.528977536
Aug ,0.576753999,0.816590329,0.587756958,0.528977536
Aug ,0.576753999,0.816590329,0.587756958,0.528977536
Aug ,0.576753999,0.816590329,0.587756958,0.528977536
Aug ,0.576753999,0.816590329,0.587756958,0.528977536
Aug ,0.533624734,0.809327107,0.543713405,0.47458465
Aug ,0.533624734,0.809327107,0.543713405,0.47458465
Aug ,0.533624734,0.809327107,0.543713405,0.47458465
Aug ,0.533624734,0.809327107,0.543713405,0.47458465
Aug ,0.533624734,0.809327107,0.543713405,0.47458465
Aug ,0.533624734,0.809327107,0.543713405,0.47458465
Aug ,0.533624734,0.809327107,0.543713405,0.47458465
Aug ,0.499096886,0.803133661,0.497000472,0.419630047
Aug ,0.499096886,0.803133661,0.497000472,0.419630047
Aug ,0.499096886,0.803133661,0.497000472,0.419630047
Aug ,0.499096886,0.803133661,0.497000472,0.419630047
Aug ,0.499096886,0.803133661,0.497000472,0.419630047
Aug ,0.499096886,0.803133661,0.497000472,0.419630047
Aug ,0.499096886,0.803133661,0.497000472,0.419630047
Aug ,0.462779468,0.795932998,0.434090763,0.389153025
Aug ,0.462779468,0.795932998,0.434090763,0.389153025
Aug ,0.462779468,0.795932998,0.434090763,0.389153025
Aug ,0.462779468,0.795932998,0.434090763,0.389153025
Sep ,0.462779468,0.795932998,0.434090763,0.389153025
Sep ,0.462779468,0.795932998,0.434090763,0.389153025
Sep ,0.462779468,0.795932998,0.434090763,0.389153025
Sep ,0.429458662,0.788798024,0.396283749,0.360373093
Sep ,0.429458662,0.788798024,0.396283749,0.360373093
Sep ,0.429458662,0.788798024,0.396283749,0.360373093
Sep ,0.429458662,0.788798024,0.396283749,0.360373093
Sep ,0.429458662,0.788798024,0.396283749,0.360373093
Sep ,0.429458662,0.788798024,0.396283749,0.360373093
Sep ,0.429458662,0.788798024,0.396283749,0.360373093
Sep ,0.386447864,0.781178209,0.375621028,0.321411645
Sep ,0.386447864,0.781178209,0.375621028,0.321411645
Sep ,0.386447864,0.781178209,0.375621028,0.321411645
Sep ,0.386447864,0.781178209,0.375621028,0.321411645
Sep ,0.386447864,0.781178209,0.375621028,0.321411645
Sep ,0.386447864,0.781178209,0.375621028,0.321411645
Sep ,0.386447864,0.781178209,0.375621028,0.321411645
Sep ,0.346372158,0.77415897,0.372265909,0.298199973
Sep ,0.346372158,0.77415897,0.372265909,0.298199973
Sep ,0.346372158,0.77415897,0.372265909,0.298199973
Sep ,0.346372158,0.77415897,0.372265909,0.298199973
Sep ,0.346372158,0.77415897,0.372265909,0.298199973
Sep ,0.346372158,0.77415897,0.372265909,0.298199973
Sep ,0.346372158,0.77415897,0.372265909,0.298199973
Sep ,0.30384976,0.766579819,0.346248613,0.280251412
Sep ,0.30384976,0.766579819,0.346248613,0.280251412
Sep ,0.30384976,0.766579819,0.346248613,0.280251412
Sep ,0.30384976,0.766579819,0.346248613,0.280251412
Sep ,0.30384976,0.766579819,0.346248613,0.280251412
Sep ,0.30384976,0.766579819,0.346248613,0.280251412
Oct ,0.30384976,0.766579819,0.346248613,0.280251412
Oct ,0.266322411,0.758838012,0.311212752,0.254257365
Oct ,0.266322411,0.758838012,0.311212752,0.254257365
Oct ,0.266322411,0.758838012,0.311212752,0.254257365
Oct ,0.266322411,0.758838012,0.311212752,0.254257365
Oct ,0.266322411,0.758838012,0.311212752,0.254257365
Oct ,0.266322411,0.758838012,0.311212752,0.254257365
Oct ,0.266322411,0.758838012,0.311212752,0.254257365
Oct ,0.24321375,0.74375791,0.273817419,0.214139327
Oct ,0.24321375,0.74375791,0.273817419,0.214139327
Oct ,0.24321375,0.74375791,0.273817419,0.214139327
Oct ,0.24321375,0.74375791,0.273817419,0.214139327
Oct ,0.24321375,0.74375791,0.273817419,0.214139327
Oct ,0.24321375,0.74375791,0.273817419,0.214139327
Oct ,0.24321375,0.74375791,0.273817419,0.214139327
Oct ,0.215798257,0.727398455,0.253634292,0.182582362
Oct ,0.215798257,0.727398455,0.253634292,0.182582362
Oct ,0.215798257,0.727398455,0.253634292,0.182582362
Oct ,0.215798257,0.727398455,0.253634292,0.182582362
Oct ,0.215798257,0.727398455,0.253634292,0.182582362
Oct ,0.215798257,0.727398455,0.253634292,0.182582362
Oct ,0.215798257,0.727398455,0.253634292,0.182582362
Oct ,0.189221966,0.710776248,0.211211862,0.161203302
Oct ,0.189221966,0.710776248,0.211211862,0.161203302
Oct ,0.189221966,0.710776248,0.211211862,0.161203302
Oct ,0.189221966,0.710776248,0.211211862,0.161203302
Oct ,0.189221966,0.710776248,0.211211862,0.161203302
Oct ,0.189221966,0.710776248,0.211211862,0.161203302
Oct ,0.189221966,0.710776248,0.211211862,0.161203302
Oct ,0.170070376,0.692474303,0.181935109,0.137112113
Oct ,0.170070376,0.692474303,0.181935109,0.137112113
Nov ,0.170070376,0.692474303,0.181935109,0.137112113
Nov ,0.170070376,0.692474303,0.181935109,0.137112113
Nov ,0.170070376,0.692474303,0.181935109,0.137112113
Nov ,0.170070376,0.692474303,0.181935109,0.137112113
Nov ,0.170070376,0.692474303,0.181935109,0.137112113
