,CE -> NO,CE -> SU,NO -> CE,CE -> OR,SU -> CE,OR -> CE
2020-01-06 14:00:00,261.68320000000006,179.397799994192,0.0,272.5,0.0,0.0
2020-01-06 15:00:00,261.93820000000005,179.49139999419202,0.0,272.5,0.0,0.0
2020-01-06 16:00:00,255.28119999999996,174.787799994192,0.0,272.5,0.0,0.0
2020-01-06 17:00:00,246.73319999999995,180.097799994192,0.0,272.5,0.0,0.0
2020-01-06 18:00:00,250.34291999999994,182.107024121912,0.0,272.5,0.0,0.0
2020-01-06 19:00:00,292.14400000000006,206.725024121912,0.0,272.5,0.0,0.0
2020-01-06 20:00:00,288.721,207.5,0.0,272.5,0.0,0.0
2020-01-06 21:00:00,258.014,207.5,0.0,272.5,0.0,0.0
2020-01-06 22:00:00,239.13119000000003,184.82076924459201,0.0,272.5,0.0,0.0
2020-01-06 23:00:00,215.27919999999997,174.891954372592,0.0,272.5,0.0,0.0
2020-01-07 00:00:00,188.1772,164.96195437259203,0.0,272.5,0.0,0.0
2020-01-07 01:00:00,178.7592,163.29195437259202,0.0,272.5,0.0,0.0
2020-01-07 02:00:00,166.39374,164.421954372592,0.0,272.5,0.0,0.0
2020-01-07 03:00:00,161.14,163.76195437259202,0.0,272.5,0.0,0.0
2020-01-07 04:00:00,165.25,159.06145437259204,0.0,272.5,0.0,0.0
2020-01-07 05:00:00,178.93,150.09815437259203,0.0,272.5,0.0,0.0
2020-01-07 06:00:00,204.2592,146.74815437259204,0.0,272.5,0.0,0.0
2020-01-07 07:00:00,221.70919999999995,152.558154372592,0.0,272.5,0.0,0.0
2020-01-07 08:00:00,233.80920000000003,169.61745437259205,0.0,272.5,0.0,0.0
2020-01-07 09:00:00,245.4992,173.13195437259202,0.0,272.5,0.0,0.0
2020-01-07 10:00:00,248.2392,180.22195437259202,0.0,272.5,0.0,0.0
2020-01-07 11:00:00,247.19919999999996,180.15195437259203,0.0,272.5,0.0,0.0
2020-01-07 12:00:00,228.79710000000003,168.731954372592,0.0,272.5,0.0,0.0
2020-01-07 13:00:00,246.96919999999997,174.38195437259202,0.0,272.5,0.0,0.0
2020-01-07 14:00:00,252.13920000000002,176.97195437259202,0.0,272.5,0.0,0.0
2020-01-07 15:00:00,254.12919999999997,176.66195437259202,0.0,272.5,0.0,0.0
