,[66] - VALLE DE ZONGO - TIQUIMANI,[25] - CORANI,[30] - ANGOSTURA,[28] - MISICUNI,[118] - SAN JACINTO,[65] - SISTEMA ZONGO,[69] - VALLE DE ZONGO - SANTA ROSA,[75] - CHOJLLA,[29] - MIGUILLA
2020-06-19 16:00:00,0.22103932976004068,0.9994492677488196,0.173106125,0.9996505532906231,0.9500958405768698,0.8776305550903024,0.08212695001408843,0.8011845471649965,0.9980965755439437
2020-06-19 17:00:00,0.22070167483833641,0.9995174690822961,0.173106125,0.9995742364111473,0.9501272025851374,0.8776861106249455,0.08212695001408843,0.8004961351546354,0.9980627496093125
2020-06-19 18:00:00,0.22036401991663215,0.9995515697490344,0.173106125,0.9994979195316714,0.9486614773637462,0.8753287251322535,0.08212695001408843,0.7963021132188598,0.9980289236746814
2020-06-19 19:00:00,0.2200263649949279,0.9995686200824034,0.173106125,0.9994216026521957,0.9486928393720139,0.8729713396395614,0.08212695001408843,0.7921080912830842,0.9979950977400504
2020-06-19 20:00:00,0.2196887100732236,0.999577145249088,0.173106125,0.9993452857727199,0.9487242013802815,0.8706139541468694,0.08212695001408843,0.7879140693473087,0.9979612718054193
2020-06-19 21:00:00,0.21935105515151934,0.9974032277445242,0.173106125,0.999268968893244,0.948755563388549,0.8682565686541773,0.08212695001408843,0.7837200474115331,0.9979274458707882
2020-06-19 22:00:00,0.2190207405535043,0.9984944490801484,0.173106125,0.9991926520137682,0.9487869253968166,0.8683121241888204,0.08212695001408843,0.7854569377612716,0.9978936199361571
2020-06-19 23:00:00,0.21869042595548924,0.9990400597479605,0.173106125,0.9991163351342923,0.9488182874050843,0.8683676797234635,0.08212695001408843,0.7871938281110101,0.9978597940015259
2020-06-20 00:00:00,0.21836011135747418,0.9993128650818665,0.173106125,0.9990323316741234,0.9488487533568668,0.8684232352581066,0.08212695001408843,0.7888865602302363,0.9977991494448637
2020-06-20 01:00:00,0.21802979675945913,0.9994492677488196,0.173106125,0.9992977749233314,0.9488792193086493,0.8684787907927497,0.08212695001408843,0.7905792923494623,0.9977385048882015
2020-06-20 02:00:00,0.21769948216144408,0.9995174690822961,0.173106125,0.9992137714631625,0.9489096852604317,0.8685343463273928,0.08212695001408843,0.7922720244686885,0.9976778603315393
2020-06-20 03:00:00,0.21736916756342903,0.9995515697490344,0.173106125,0.9991297680029936,0.9489401512122142,0.868589901862036,0.08212695001408843,0.7939647565879147,0.997617215774877
2020-06-20 04:00:00,0.21703885296541398,0.9995686200824034,0.173106125,0.9990457645428247,0.9489706171639968,0.8686454573966791,0.08212695001408843,0.7956574887071408,0.9975565712182148
2020-06-20 05:00:00,0.21670853836739892,0.999577145249088,0.173106125,0.9993112077920325,0.9490010831157792,0.8687010129313222,0.08212695001408843,0.7973502208263669,0.9974959266615526
2020-06-20 06:00:00,0.2163782237693839,0.9995814078324303,0.173106125,0.9992272043318636,0.9490315490675617,0.8687565684659653,0.08212695001408843,0.799042952945593,0.9974352821048904
2020-06-20 07:00:00,0.21604790917136885,0.9995835391241015,0.173106125,0.9994926475810716,0.9490620150193442,0.8688121240006084,0.08212695001408843,0.8007356850648192,0.9973746375482282
