,SU -> CE,CE -> NO,OR -> CE,CE -> SU,CE -> OR,NO -> CE
2020-01-06 12:00:00,0.0,0.0,0.0,116.873736907962,272.5,94.55838904047992
2020-01-06 13:00:00,0.0,0.0,0.0,182.77376531852798,272.5,84.98230904047995
2020-01-06 14:00:00,0.0,0.0,0.0,124.102430281982,272.5,86.2013884647999
2020-01-06 15:00:00,0.0,0.0,0.0,189.653765318528,272.5,74.4671884647999
2020-01-06 16:00:00,0.0,0.0,0.0,145.615984848002,272.5,84.98672304017802
2020-01-06 17:00:00,0.0,0.0,0.0,183.33376531852798,272.5,89.67218846479997
2020-01-06 18:00:00,0.0,0.0,0.0,184.116754413982,272.5,92.46226197247195
2020-01-06 19:00:00,0.0,0.0,0.0,207.5,272.5,34.90826507020992
2020-01-06 20:00:00,0.0,0.0,0.0,207.5,272.5,36.76838507020996
2020-01-06 21:00:00,0.0,0.0,0.0,207.5,272.5,71.72773507020995
2020-01-06 22:00:00,0.0,0.0,0.0,184.13771591098202,272.5,92.90344507020991
2020-01-06 23:00:00,0.0,0.0,0.0,169.764957285532,272.5,121.68938507021
2020-01-07 00:00:00,0.0,0.0,0.0,164.62397642777202,272.5,148.97646077201208
2020-01-07 01:00:00,0.0,0.0,0.0,157.443876427772,272.5,166.90642077201207
2020-01-07 02:00:00,0.0,0.0,0.0,161.337776427772,272.5,174.34366077201202
2020-01-07 03:00:00,0.0,0.0,0.0,162.990776427772,272.5,164.5344607720121
2020-01-07 04:00:00,0.0,0.0,0.0,161.703976427772,272.5,160.42446077201205
2020-01-07 05:00:00,0.0,0.0,0.0,149.754204427772,272.5,161.60607637578397
2020-01-07 06:00:00,0.0,0.0,0.0,144.265242685792,272.5,132.89446077201208
2020-01-07 07:00:00,0.0,0.0,0.0,138.732265005772,272.5,115.44446077201206
2020-01-07 08:00:00,0.0,0.0,0.0,131.53878308879203,272.5,114.82366077201198
2020-01-07 09:00:00,0.0,0.0,0.0,129.177051910524,272.5,91.65446077201202
2020-01-07 10:00:00,0.0,0.0,0.0,132.475643926792,272.5,88.914460772012
2020-01-07 11:00:00,0.0,0.0,0.0,129.42514369377201,272.5,101.43366077201205
2020-01-07 12:00:00,0.0,0.0,0.0,174.33376531852798,272.5,101.51446077201201
2020-01-07 13:00:00,0.0,0.0,0.0,124.85490769077201,272.5,90.18446077201203
2020-01-07 14:00:00,0.0,0.0,0.0,182.573765318528,272.5,85.01446077201201
2020-01-07 15:00:00,0.0,0.0,0.0,182.263765318528,272.5,83.02446077201205
2020-01-07 16:00:00,0.0,0.0,0.0,186.77376531852798,272.5,79.86446077201205
2020-01-07 17:00:00,0.0,0.0,0.0,176.382595487372,272.5,79.95446077201203
2020-01-07 18:00:00,0.0,0.0,0.0,192.313765318528,272.5,71.86446077201204
2020-01-07 19:00:00,0.0,0.0,0.0,207.5,272.5,37.43366077201205
2020-01-07 20:00:00,0.0,0.0,0.0,207.5,272.5,30.196445168240075
2020-01-07 21:00:00,0.0,0.0,0.0,207.5,272.5,65.26366077201203
2020-01-07 22:00:00,0.0,0.0,0.0,188.14017642777202,272.5,99.74366077201203
2020-01-07 23:00:00,0.0,0.0,0.0,178.383976427772,272.5,128.73476077201204
2020-01-08 00:00:00,0.0,0.0,0.0,169.10195437259202,272.5,142.77210113035997
2020-01-08 01:00:00,0.0,0.0,0.0,163.49375437259204,272.5,164.19620113035992
2020-01-08 02:00:00,0.0,0.0,0.0,156.76815437259202,253.5143381681031,162.56360113035996
2020-01-08 03:00:00,0.0,0.0,0.0,157.26735437259202,268.8748190840516,163.46210113035997
2020-01-08 04:00:00,0.0,0.0,0.0,159.53335437259204,260.87133816810314,154.27210113035997
2020-01-08 05:00:00,0.0,0.0,0.0,160.09195437259203,253.42481908405156,142.55210113035997
2020-01-08 06:00:00,0.0,0.0,0.0,159.609090047572,272.5,118.73210113035994
2020-01-08 07:00:00,0.0,0.0,0.0,137.626284403612,272.5,112.67130113035995
2020-01-08 08:00:00,0.0,0.0,0.0,176.533765318528,272.5,93.40250113035995
2020-01-08 09:00:00,0.0,0.0,0.0,135.02893229257202,272.5,84.33210113035997
2020-01-08 10:00:00,0.0,0.0,0.0,131.01301358857205,272.5,79.15210113035998
2020-01-08 11:00:00,0.0,0.0,0.0,121.60283774718403,272.5,91.21130113035991
2020-01-08 12:00:00,0.0,0.0,0.0,123.42763402961201,272.5,94.88210113036001
2020-01-08 13:00:00,0.0,0.0,0.0,129.72726875859203,272.5,86.44210113035996
2020-01-08 14:00:00,0.0,0.0,0.0,190.753765318528,272.5,83.67210113035992
