Dia/Mes,1980,1985,1990,1995,2000,2005,2010,2015,CORANI
30-May,27.50,20.08,28.34,20.78,22.27,24.20,20.03,50.19,
31-May,27.69,19.99,33.08,20.56,22.02,24.06,19.97,49.31,
01-Jun,27.68,19.79,37.18,20.34,21.94,23.94,19.77,48.85,
02-Jun,27.49,19.60,39.50,20.14,21.95,23.61,19.58,47.67,
03-Jun,27.28,19.45,40.08,19.96,21.82,23.28,19.39,46.11,
04-Jun,26.87,19.31,40.27,19.79,21.59,23.00,19.21,44.64,
05-Jun,26.39,19.15,41.59,19.60,21.34,23.97,19.04,43.09,3.41
06-Jun,25.93,18.99,42.30,19.42,21.15,24.94,18.88,41.67,
07-Jun,25.48,18.85,41.06,19.38,21.09,25.03,18.72,42.32,
08-Jun,25.06,18.71,39.66,19.34,21.20,25.00,18.57,42.97,
09-Jun,24.67,18.58,38.54,19.17,21.58,24.56,18.42,41.80,
10-Jun,24.31,18.46,37.58,19.06,21.79,24.45,18.28,40.94,
11-Jun,23.97,18.34,36.57,18.95,21.60,24.34,18.14,40.42,
12-Jun,23.61,18.22,35.58,18.79,21.34,24.06,18.01,40.11,2.43
13-Jun,23.64,18.09,34.64,18.67,21.09,23.83,17.89,39.85,
14-Jun,23.78,17.97,33.75,18.56,20.85,23.53,17.77,41.33,
15-Jun,23.56,17.88,32.91,18.43,20.69,23.85,17.65,42.90,
16-Jun,23.23,17.82,32.10,18.29,20.59,24.60,17.54,42.13,
17-Jun,22.91,17.73,31.35,18.20,20.83,24.65,17.44,40.86,
18-Jun,22.61,17.62,30.79,18.17,21.38,24.37,17.34,39.81,
19-Jun,22.36,17.51,30.28,18.10,21.55,24.24,17.25,38.74,1.60
20-Jun,22.22,23.56,29.66,17.98,21.34,24.01,17.15,37.76,
21-Jun,22.04,31.86,29.06,17.86,21.12,23.68,17.05,37.24,
22-Jun,21.78,32.88,28.49,17.75,20.90,23.33,16.96,36.68,
23-Jun,21.53,31.99,28.47,17.64,20.68,23.00,16.87,35.75,
24-Jun,21.29,31.03,28.46,17.54,20.47,22.69,16.78,34.80,
25-Jun,21.16,30.24,27.95,17.62,20.26,22.39,16.69,33.96,
26-Jun,21.08,29.64,27.45,17.70,20.06,22.13,16.62,33.39,1.00
27-Jun,20.91,29.01,26.95,17.59,19.87,21.93,16.55,32.93,
28-Jun,20.71,28.34,26.47,17.48,19.68,21.72,16.47,32.29,
29-Jun,20.50,27.72,26.02,17.38,19.50,21.48,16.40,31.95,
30-Jun,20.29,27.45,25.58,17.28,19.32,21.22,16.33,33.51,
01-Jul,20.12,27.63,25.16,17.18,19.14,20.97,16.26,35.16,
02-Jul,19.97,27.54,24.75,17.09,18.98,20.92,16.19,35.88,
03-Jul,19.82,27.07,24.40,17.03,18.82,20.88,16.13,42.98,1.05
04-Jul,19.66,27.53,24.06,16.97,19.43,21.59,16.06,50.01,
05-Jul,19.50,28.79,23.70,16.94,20.02,22.43,16.00,49.50,
06-Jul,19.33,29.06,23.41,17.14,19.82,22.28,16.00,47.74,
07-Jul,19.17,28.45,23.42,17.41,19.63,21.98,16.80,46.72,
08-Jul,19.02,27.85,23.83,17.45,19.44,21.71,17.99,45.53,
09-Jul,18.86,27.27,24.21,17.34,19.26,21.44,18.25,43.89,
10-Jul,18.72,26.74,24.14,17.23,19.26,21.18,18.12,42.35,0.90
11-Jul,18.59,26.25,23.81,17.15,19.47,20.93,18.02,41.21,
12-Jul,18.45,25.79,23.45,17.08,19.73,20.69,17.88,40.55,
13-Jul,18.32,25.34,23.12,17.00,19.77,20.46,18.14,41.41,
14-Jul,18.19,24.91,22.80,17.09,19.59,20.46,18.64,46.74,
15-Jul,18.09,24.49,22.49,17.25,19.42,20.47,18.93,51.58,
16-Jul,17.99,24.09,22.19,18.01,19.25,20.55,19.95,51.16,
17-Jul,17.87,23.72,22.21,18.68,19.09,20.74,20.88,49.06,0.66
18-Jul,17.76,23.37,22.49,18.50,18.93,20.63,20.77,47.12,
19-Jul,17.64,23.03,22.67,18.35,18.81,20.41,20.51,45.36,
20-Jul,17.52,22.71,22.72,18.20,18.72,20.20,20.27,43.73,
21-Jul,17.43,22.40,22.58,18.06,18.60,20.00,20.04,42.24,
22-Jul,17.33,22.10,22.31,17.93,18.47,19.81,19.82,40.86,
23-Jul,17.23,21.86,22.03,17.81,18.35,19.64,19.61,39.57,
24-Jul,17.15,23.21,21.76,17.68,18.26,19.46,19.44,38.35,0.89
25-Jul,17.05,24.48,21.49,17.56,18.26,19.29,19.27,37.22,
26-Jul,16.95,24.14,21.24,17.44,18.21,19.12,19.08,36.14,
27-Jul,16.86,24.26,21.00,17.32,18.08,18.95,19.04,35.15,
28-Jul,16.79,24.28,20.77,17.21,17.95,18.79,19.00,34.20,
29-Jul,16.73,23.93,20.54,17.11,17.83,18.63,18.82,33.29,
30-Jul,16.89,23.62,20.33,17.01,17.71,18.48,18.65,32.43,
31-Jul,17.03,27.35,20.12,17.14,17.59,18.33,18.52,31.66,0.63
01-Aug,16.95,31.02,19.92,17.25,17.48,18.19,18.40,30.96,
02-Aug,16.86,30.45,19.73,17.28,17.37,18.04,18.26,30.27,
03-Aug,16.77,29.69,19.54,17.54,17.26,17.91,18.13,29.61,
04-Aug,16.73,28.98,19.35,17.67,17.51,17.83,17.99,28.99,
