,1980,1985,1990,1995,2000,2005,2010,2015,2020,Observed
35,0.542542907,0.506578422,0.494347022,0.503673407,0.502112262,0.498702495,0.512580104,0.498050673,0.474710119,0.479163806
36,0.544762316,0.507811386,0.495174647,0.50484744,0.503153318,0.499666685,0.513911456,0.499008713,0.474991448,0.480837258
37,0.546981724,0.50904435,0.496002272,0.506021474,0.504194373,0.500630875,0.515242808,0.499966754,0.475272776,0.482494695
38,0.549201133,0.510277314,0.496829897,0.507195507,0.505235429,0.501595065,0.51657416,0.500924795,0.475554105,0.484127575
39,0.551420541,0.511510278,0.497657522,0.508369541,0.506276485,0.502559255,0.517905513,0.501882835,0.475835434,0.485727631
40,0.55363995,0.512743242,0.498485147,0.509543574,0.507317541,0.503523444,0.519236865,0.502840876,0.476116763,0.487286927
41,0.555859358,0.513976206,0.499312772,0.510717608,0.508358596,0.504487634,0.520568217,0.503798917,0.476398092,0.48879791
42,0.558078767,0.51520917,0.500140397,0.511891641,0.509399652,0.505451824,0.521899569,0.504756957,0.476679421,0.490253458
43,0.560298175,0.516442134,0.500968022,0.513065675,0.510440708,0.506416014,0.523230922,0.505714998,0.47696075,0.491646934
44,0.562517584,0.517675098,0.501795647,0.514239709,0.511481763,0.507380204,0.524562274,0.506673039,0.477242078,0.492972238
45,0.564736992,0.518908062,0.502623272,0.515413742,0.512522819,0.508344394,0.525893626,0.507631079,0.477523407,0.494223856
46,0.566956401,0.520141026,0.503450897,0.516587776,0.513563875,0.509308584,0.527224978,0.50858912,0.477804736,0.495396913
47,0.569175809,0.52137399,0.504278522,0.517761809,0.514604931,0.510272774,0.528556331,0.509547161,0.478086065,0.496487223
48,0.571395218,0.522606954,0.505106147,0.518935843,0.515645986,0.511236964,0.529887683,0.510505201,0.478367394,0.497491344
49,0.573569276,0.52383095,0.505961956,0.520218513,0.516653477,0.512192955,0.531256443,0.511701782,0.478648718,0.498406626
50,0.575743333,0.525054946,0.506817765,0.521501184,0.517660968,0.513148945,0.532625203,0.512898363,0.478930042,0.499231262
51,0.577917391,0.526278943,0.507673574,0.522783855,0.518668459,0.514104936,0.533993964,0.514094944,0.479211366,0.499964342
