,1980,1985,1990,1995,2000,2005,2010,2015,Baseline,Observed
Jan,0.349753149,0.210286187,0.20875294,0.216711063,0.213580292,0.217656722,0.21788624,0.21291365,0.223381893,0.240350205
Jan,0.353460521,0.210983472,0.209249084,0.217435166,0.21419712,0.218407644,0.218201056,0.213905939,0.223455342,0.243836263
Jan,0.357167893,0.210842371,0.209745229,0.218159269,0.214813949,0.219158565,0.218515873,0.214898228,0.22352879,0.247194035
Jan,0.360875265,0.210701271,0.210241373,0.218883372,0.215430777,0.219909487,0.218830689,0.215890517,0.223602239,0.250408207
Jan,0.364582637,0.21056017,0.210737518,0.21876909,0.216047605,0.219822024,0.219145505,0.216044422,0.223675687,0.253464705
Jan,0.368290008,0.21041907,0.211233662,0.218654808,0.216664433,0.220572945,0.219460321,0.216198326,0.223749136,0.256350817
Jan,0.37199738,0.210277969,0.211729807,0.218540526,0.217281262,0.221323866,0.219775137,0.217190615,0.223822584,0.259055309
Jan,0.375704752,0.210136869,0.212225951,0.218426245,0.21789809,0.222074788,0.220089953,0.218182904,0.223896033,0.261568546
Jan,0.379412124,0.210834153,0.212722096,0.218311963,0.218514918,0.222825709,0.220404769,0.219175193,0.224807866,0.263882608
Jan,0.383079268,0.211638712,0.21323165,0.219076293,0.219118337,0.223536403,0.220880497,0.220087026,0.225713255,0.265991413
Jan,0.386746412,0.212443271,0.213741204,0.219840624,0.219721756,0.224247096,0.221356225,0.220998859,0.226618644,0.267890833
Jan,0.390413556,0.213247829,0.214250757,0.220604955,0.220325175,0.22495779,0.222670338,0.221910693,0.227524034,0.269578812
Jan,0.3940807,0.214052388,0.214760311,0.221369286,0.220928594,0.225668483,0.22398445,0.222822526,0.228429423,0.271055424
Jan,0.397747844,0.214856947,0.215269865,0.222133616,0.221532013,0.226379177,0.225298563,0.223734359,0.229334812,0.272322779
Jan,0.401414988,0.215661505,0.215779419,0.222897947,0.222135432,0.22708987,0.226612675,0.224646192,0.230240201,0.273384875
