Scenario,region,id,r,fuel_class,fraction
Historical,NO,1982,22,GAS,0.0197
Historical,NO,1982,22,OIL,0
Historical,NO,1982,22,SUN,0
Historical,NO,1982,22,WIN,0
Historical,NO,1982,22,WAT,0.9802
Historical,NO,1983,4,BIO,0
Historical,NO,1983,4,GAS,0.0301
Historical,NO,1983,4,OIL,0
Historical,NO,1983,4,SUN,0
Historical,NO,1983,4,WIN,0
Historical,NO,1983,4,WAT,0.9699
Historical,NO,1984,32,BIO,0
Historical,NO,1984,32,GAS,0.0142
Historical,NO,1984,32,OIL,0
Historical,NO,1984,32,SUN,0
Historical,NO,1984,32,WIN,0
Historical,NO,1984,32,WAT,0.9858
Historical,NO,1985,35,BIO,0
Historical,NO,1985,35,GAS,0.0135
Historical,NO,1985,35,OIL,0
Historical,NO,1985,35,SUN,0
Historical,NO,1985,35,WIN,0
Historical,NO,1985,35,WAT,0.9865
Historical,NO,1986,24,BIO,0
Historical,NO,1986,24,GAS,0.0191
Historical,NO,1986,24,OIL,0
Historical,NO,1986,24,SUN,0
Historical,NO,1986,24,WIN,0
Historical,NO,1986,24,WAT,0.9809
Historical,NO,1987,18,BIO,0
Historical,NO,1987,18,GAS,0.0222
Historical,NO,1987,18,OIL,0
Historical,NO,1987,18,SUN,0
Historical,NO,1987,18,WIN,0
Historical,NO,1987,18,WAT,0.9778
Historical,NO,1988,12,BIO,0
Historical,NO,1988,12,GAS,0.0255
Historical,NO,1988,12,OIL,0
Historical,NO,1988,12,SUN,0
Historical,NO,1988,12,WIN,0
Historical,NO,1988,12,WAT,0.9745
Historical,NO,1989,1,BIO,0
Historical,NO,1989,1,GAS,0.0414
Historical,NO,1989,1,OIL,0
Historical,NO,1989,1,SUN,0
Historical,NO,1989,1,WIN,0
Historical,NO,1989,1,WAT,0.9585
Historical,NO,1990,30,BIO,0
Historical,NO,1990,30,GAS,0.0167
Historical,NO,1990,30,OIL,0
Historical,NO,1990,30,SUN,0
Historical,NO,1990,30,WIN,0
Historical,NO,1990,30,WAT,0.9833
Historical,NO,1991,6,BIO,0
Historical,NO,1991,6,GAS,0.0283
Historical,NO,1991,6,OIL,0
Historical,NO,1991,6,SUN,0
Historical,NO,1991,6,WIN,0
Historical,NO,1991,6,WAT,0.9717
Historical,NO,1992,5,BIO,0
Historical,NO,1992,5,GAS,0.0289
Historical,NO,1992,5,OIL,0
Historical,NO,1992,5,SUN,0
Historical,NO,1992,5,WIN,0
Historical,NO,1992,5,WAT,0.9711
Historical,NO,1993,31,BIO,0
Historical,NO,1993,31,GAS,0.0151
Historical,NO,1993,31,OIL,0
Historical,NO,1993,31,SUN,0
Historical,NO,1993,31,WIN,0
Historical,NO,1993,31,WAT,0.9849
Historical,NO,1994,15,BIO,0
Historical,NO,1994,15,GAS,0.0247
Historical,NO,1994,15,OIL,0
Historical,NO,1994,15,SUN,0
Historical,NO,1994,15,WIN,0
Historical,NO,1994,15,WAT,0.9753
Historical,NO,1995,2,BIO,0
Historical,NO,1995,2,GAS,0.04
Historical,NO,1995,2,OIL,0
Historical,NO,1995,2,SUN,0
Historical,NO,1995,2,WIN,0
Historical,NO,1995,2,WAT,0.96
Historical,NO,1996,23,BIO,0
Historical,NO,1996,23,GAS,0.0194
Historical,NO,1996,23,OIL,0
Historical,NO,1996,23,SUN,0
Historical,NO,1996,23,WIN,0
Historical,NO,1996,23,WAT,0.9806
Historical,NO,1997,16,BIO,0
Historical,NO,1997,16,GAS,0.0238
Historical,NO,1997,16,OIL,0
