,[68] - VALLE DE ZONGO - BOTIJILACA,[31] - ANGOSTURA,[73] - VALLE DE ZONGO - HARCA,[71] - VALLE DE ZONGO - SAINANI,[34] - KANATA,[76] - CHOJLLA,[77] - YANACACHI,[119] - PUNUTUMA,[32] - CHOQUETANGA,[30] - MIGUILLA,[66] - SISTEMA ZONGO,[26] - SANTA ISABEL,[67] - VALLE DE ZONGO - TIQUIMANI,[74] - VALLE DE ZONGO - CAHUA,[117] - KILPANI,[69] - VALLE DE ZONGO - CUTICUCHO,[27] - SAN JOSE 1,[25] - CORANI,[78] - SISTEMA QUEHATA,[33] - CARABUCO,[72] - VALLE DE ZONGO - CHURURAQUI,[29] - MISICUNI,[75] - VALLE DE ZONGO - HUAJI,[118] - LANDARA,[28] - SAN JOSE 2,[120] - SAN JACINTO,[70] - VALLE DE ZONGO - SANTA ROSA,[8] - QOLLPANA I,[106] - ARJ13,[104] - ARJ11,[13] - BUL01,[20] - CCERI30-31-32,[98] - CCWAR40-41-42,[89] - UNA01,[83] - GCH09,[97] - CCWAR30-31-32,[94] - WAR03,[107] - ARJ14,[80] - GCH02,[95] - WAR04,[85] - GCH11,[105] - ARJ12,[86] - GCH12,[115] - UYUNI_COLCHAK,[114] - CCSUR40-41-42,[112] - SUR04,[22] - CCERI50-51-52,[84] - GCH10,[4] - VHE05,[9] - QOLLPANA II,[12] - CAR03,[23] - ORURO I,[5] - VHE06,[93] - WAR02,[7] - VHE08,[24] - ORURO II,[15] - BUL03,[14] - BUL02,[116] - YUNCHARA,[35] - ALT01,[113] - CCSUR30-31-32,[37] - SBU01,[92] - WAR01,[103] - ARJ09,[79] - GCH01,[99] - ARJ08,[96] - WAR05,[90] - GBE01,[108] - ARJ15,[6] - VHE07,[21] - CCERI40-41-42
01/01/2020 20:00,6.81,0,25.85,10.5,4.245566793,38.4,50.79,0.082370254,6.2,2.55,0,91.11,0,28.02,0.223919131,22.97,55,65.24,0.666745357,6.13,25.39,120,30.15,0.079971121,0,7.6,17.59,0.562451061,0,0,0,83.77333338,37.38230015,0,57.14,124.05,0,0,0,0,0,0,79.81,0,73.07596536,0,0,0,0,2.88432168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125.66
01/01/2020 21:00,6.81,0,25.85,10.5,4.245566793,38.4,50.79,0.082370254,6.2,2.55,0,91.11,0,28.02,0.223919131,22.97,55,65.24,0.666745357,6.13,25.39,120,30.15,0.079971121,0,7.6,0,0.592880553,0,0,0,83.77333338,18.6075,0,57.14,107.5961486,0,0,0,0,0,0,79.81,0,73.07596536,0,0,0,0,3.084399408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125.66
01/01/2020 22:00,6.81,0,25.85,10.5,4.245566793,38.4,50.79,0.082370254,6.2,2.55,0,91.11,0,28.02,0.223919131,22.97,55,65.24,0.666745357,6.13,25.39,120,30.15,0.079971121,0,7.6,0,0.483649521,0,0,0,83.77333338,18.6075,0,57.14,18.6075,0,0,0,0,0,0,79.81,0,73.07596536,0,0,0,0,2.36714916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125.66
01/01/2020 23:00,6.81,0,25.85,10.5,4.245566793,38.4,50.79,0.082370254,6.2,2.55,0,91.11,0,28.02,0.223919131,22.97,55,65.24,0.666745357,6.13,25.39,120,30.15,0.079971121,0,7.6,0,0.379704558,0,0,0,83.77333338,18.6075,0,24.4629,18.6075,0,0,0,0,0,0,79.81,0,46.40148916,0,0,0,0,1.710100248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125.66
02/01/2020 00:00,0,0,25.85,10.5,4.511670698,38.4,50.79,0.113259098,6.2,2.55,0,91.11,0,28.02,0.307888809,22.97,16.14084435,65.24,0.666745357,6.13,25.39,120,30.15,0.109960292,0,7.6,0,0.336513891,0,0,0,83.77333338,18.6075,0,8.571,18.6075,0,0,0,0,0,0,79.81,0,11.61600001,0,0,0,0,1.45598412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125.66
02/01/2020 01:00,0,0,25.85,10.5,4.511670698,30.90864838,50.79,0.113259098,6.2,0,0,91.11,0,28.02,0.307888809,22.97,0,65.24,0.666745357,6.13,25.39,120,30.15,0.109960292,0,5.511374526,0,0.315553107,0,0,0,83.77333338,18.6075,0,8.571,18.6075,0,0,0,0,0,0,79.81,0,11.61600001,0,0,0,0,1.33853472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125.66
02/01/2020 02:00,0,0,25.85,10.5,4.511670698,28.44127028,50.79,0.113259098,6.2,0,0,91.11,0,28.02,0.307888809,22.97,0,65.24,0.666745357,6.13,25.39,120,0,0.109960292,0,3.832926476,0,0.275547657,0,0,0,83.77333338,18.6075,0,8.571,18.6075,0,0,0,0,0,0,79.81,0,11.61600001,0,0,0,0,1.127119248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125.66
02/01/2020 03:00,0,0,25.85,10.5,4.511670698,0,50.79,0.113259098,6.2,0,0,91.11,0,28.02,0.307888809,22.97,0,65.24,0.666745357,6.13,25.39,120,0,0.109960292,0,3.832926476,0,0.222635022,0,0,0,83.77333338,18.6075,0,8.571,18.6075,0,0,0,0,0,0,79.81,0,11.61600001,0,0,0,0,0.877255752,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125.66
02/01/2020 04:00,0,0,25.85,10.5,4.511670698,0,50.79,0.113259098,6.2,0,0,91.11,0,28.02,0.307888809,22.97,0,65.24,0.666745357,6.13,25.39,120,0,0.109960292,0,3.832926476,0,0.184493763,0,0,0,83.77333338,18.6075,0,8.571,18.6075,0,0,0,0,0,0,79.81,0,11.61600001,0,0,0,0,0.72065376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125.66
02/01/2020 05:00,0,0,25.85,10.5,4.511670698,0,50.79,0.113259098,6.2,0,0,91.11,0,28.02,0.307888809,22.97,0,65.24,0.666745357,6.13,25.39,120,0,0.109960292,0,0,0,0.15579327,0,0,0,83.77333338,18.6075,0,8.571,18.6075,0,0,0,0,0,0,79.81,0,15.44892648,0,0,0,0,0.61630644,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125.66
02/01/2020 06:00,0,0,25.85,10.5,4.511670698,32.27293916,50.79,0.113259098,6.2,0,0,91.11,0,28.02,0.307888809,22.97,0,65.24,0.666745357,6.13,25.39,120,0,0.109960292,0,2.359979239,0,0.123177999,0,0,0,83.77333338,18.6075,0,8.571,18.6075,0,0,0,0,0,0,79.81,4.317395082,11.61600001,0,0,0,0,0.526642392,0,1.566537245,0,0,0,1.566537245,0,0,0.297834,0,0,0,0,0,0,0,0,0,0,0,125.66
02/01/2020 07:00,0,0,25.85,10.5,4.511670698,38.4,50.79,0.113259098,6.2,0,0,91.11,0,28.02,0.307888809,22.97,0,65.24,0.666745357,6.13,25.39,120,30.15,0.109960292,0,7.6,0,0.204465576,0,0,0,83.77333338,18.6075,0,8.571,54.37331888,0,0,0,0,0,0,79.81,17.19754839,11.61600001,0,0,0,0,0.800106528,0,11.7248365,0,0,0,11.7248365,0,0,1.11253,0,0,0,0,0,0,0,0,0,0,0,125.66
02/01/2020 08:00,0,0,25.85,10.5,4.511670698,38.4,50.79,0.113259098,6.2,0,0,91.11,0,28.02,0.307888809,22.97,55,65.24,0.666745357,6.13,25.39,120,30.15,0.109960292,0,7.6,0,0.307810662,0,0,0,83.77333338,18.6075,0,8.571,61.76596593,0,0,0,0,0,0,79.81,31.70908541,11.61600001,0,0,55.97,0,1.296256056,0,23.50546415,0,0,0,23.50546415,0,0,1.977196,0,0,0,0,0,0,0,0,0,0,0,125.66
02/01/2020 09:00,0,0,25.85,10.5,4.511670698,38.4,50.79,0.113259098,6.2,0,0,91.11,0,28.02,0.307888809,22.97,0,65.24,0.666745357,6.13,25.39,120,30.15,0.109960292,0,7.6,0,0.366605595,0,0,0,83.77333338,18.6075,0,8.571,67.908916,0,0,0,0,0,0,79.81,37.96727933,55.16061362,0,0,55.97,0,1.631479512,0,32.30224216,0,0,0,32.30224216,0,0,2.459264,0,0,0,0,0,0,0,0,0,0,0,125.66
02/01/2020 10:00,0,0,25.85,10.5,4.511670698,38.4,50.79,0.113259098,6.2,0,0,91.11,0,28.02,0.307888809,22.97,0,65.24,0.666745357,6.13,25.39,120,30.15,0.109960292,0,7.6,0,0.425389758,0,0,0,83.77333338,18.6075,0,8.571,120.720908,0,0,0,0,0,0,79.81,41.07914613,55.16061362,0,0,55.97,0,1.992868944,0,38.07053558,0,0,0,38.07053558,0,0,2.770675,0,0,0,0,0,0,0,0,0,0,0,125.66
02/01/2020 11:00,0.682939163,0,25.85,10.5,4.511670698,38.4,50.79,0.113259098,6.2,0,0,91.11,0,28.02,0.307888809,22.97,0,65.24,0.666745357,6.13,25.39,120,30.15,0.109960292,0,7.6,0,0.509534415,0,0,0,83.77333338,28.91966833,0,8.571,124.05,0,0,0,0,0,0,79.81,43.93503516,55.16061362,0,0,55.97,0,2.536333032,0,40.80853608,0,0,0,40.80853608,0,0,2.807174,0,0,0,0,0,0,0,0,0,0,0,125.66
02/01/2020 12:00,0.682939163,0,25.85,10.5,4.511670698,38.4,50.79,0.113259098,6.2,0,0,91.11,0,28.02,0.307888809,22.97,0,65.24,0.666745357,6.13,25.39,120,30.15,0.109960292,0,7.6,0,0.618094791,0,0,0,83.77333338,28.91966833,0,8.571,124.05,0,0,0,0,0,0,79.81,43.39389552,55.16061362,0,0,55.97,0,3.249578976,0,40.09189978,0,0,0,40.09189978,0,0,2.788823,0,0,0,0,0,0,0,0,0,0,0,125.66
02/01/2020 13:00,6.81,0,25.85,10.5,4.511670698,38.4,50.79,0.113259098,6.2,0,0,91.11,0,28.02,0.307888809,22.97,55,65.24,0.666745357,6.13,25.39,120,30.15,0.109960292,0,7.6,0,0.720694422,0,0,0,83.77333338,36.5154,0,8.571,124.05,0,0,0,0,0,0,79.81,39.67217654,55.16061362,0,0,55.97,0,3.910544256,0,37.71137077,0,0,0,37.71137077,0,0,2.695272,0,0,0,0,0,0,0,0,0,0,0,125.66
02/01/2020 14:00,6.81,0,25.85,10.5,4.511670698,38.4,50.79,0.113259098,6.2,0,0,91.11,0,28.02,0.307888809,22.97,55,65.24,0.666745357,6.13,25.39,120,30.15,0.109960292,0,7.6,0,0.824553243,0,0,0,83.77333338,41.289,0,8.571,124.05,0,0,0,0,0,0,79.81,33.25902482,73.07596536,0,0,55.97,0,4.55383164,0,32.94554679,0,0,0,32.94554679,0,0,2.606274,0,0,0,0,0,0,0,0,0,0,0,125.66
02/01/2020 15:00,6.81,0,25.85,10.5,4.511670698,38.4,50.79,0.113259098,6.2,0,0,91.11,0,28.02,0.307888809,22.97,55,65.24,0.666745357,6.13,25.39,120,30.15,0.109960292,0,7.6,0,0.875865003,0,0,0,83.77333338,41.289,0,46.30503816,124.05,0,0,0,0,0,0,79.81,24.84232248,73.07596536,0,0,55.97,0,4.860707544,0,25.94112319,0,0,0,25.94112319,0,0,2.277766,0,0,0,0,0,0,0,0,0,0,0,125.66
02/01/2020 16:00,6.81,0,25.85,10.5,4.511670698,38.4,50.79,0.113259098,6.2,0,0,91.11,0,28.02,0.307888809,22.97,55,65.24,0.666745357,6.13,25.39,120,30.15,0.109960292,0,7.6,0,0.868412079,0,0,0,83.77333338,41.289,0,46.30503816,124.05,0,0,0,0,0,0,79.81,15.35569533,73.07596536,0,0,55.97,0,4.816590984,0,16.67946323,0,0,0,16.67946323,0,0,1.618814,0,0,0,0,0,0,0,0,0,0,0,125.66
02/01/2020 17:00,6.81,0,25.85,10.5,4.511670698,38.4,50.79,0.113259098,6.2,0,0,91.11,0,28.02,0.307888809,22.97,48.73300178,65.24,0.666745357,6.13,25.39,120,30.15,0.109960292,0,7.6,0,0.804608286,0,0,0,83.77333338,41.289,0,46.30503816,124.05,0,0,0,0,0,0,79.81,6.511052528,73.07596536,0,0,55.97,0,4.432565784,0,7.815775843,0,0,0,7.815775843,0,0,0.940801,0,0,0,0,0,0,0,0,0,0,0,125.66
02/01/2020 18:00,6.81,0,25.85,10.5,4.511670698,38.4,50.79,0.113259098,6.2,0,0,91.11,0,28.02,0.307888809,22.97,55,65.24,0.666745357,6.13,25.39,120,30.15,0.109960292,0,7.6,0,0.558425397,0,0,0,83.77333338,123.5298809,0,46.30503816,124.05,0,0,0,0,0,0,79.81,1.265486242,73.07596536,0,0,55.97,0,2.857821816,0,1.219151782,0,0,0,1.219151782,0,0,0.216138,0,0,0,0,0,0,0,0,0,0,0,125.66
02/01/2020 19:00,6.81,0,25.85,10.5,4.511670698,38.4,50.79,0.113259098,6.2,2.55,0,91.11,0,28.02,0.307888809,22.97,55,65.24,0.666745357,6.13,25.39,120,30.15,0.109960292,0,7.6,17.59,0.330452004,0,0,0,83.77333338,124.05,0,57.14,124.05,23.19925993,0,0,0,0,0,79.81,0,77.44000004,0,0,55.97,0,1.421585544,0,0,0,38.86,0,0,0,0,0,0,0,0,0,0,0,12.59596532,10.20987952,0,0,0,125.66
02/01/2020 20:00,6.81,0,25.85,10.5,4.511670698,38.4,50.79,0.113259098,6.2,2.55,0,91.11,0,28.02,0.307888809,22.97,55,65.24,0.666745357,6.13,25.39,120,30.15,0.109960292,0,7.6,17.59,0.336334755,0,0,0,83.77333338,124.05,0,57.14,124.05,7.83,0,0,0,0,0,79.81,0,77.44000004,0,0,55.97,0,1.454962728,0,0,0,38.86,0,0,0,0,0,0,0,0,0,0,0,12.59596532,10.20987952,0,0,0,125.66
02/01/2020 21:00,6.81,0,25.85,10.5,4.511670698,38.4,50.79,0.113259098,6.2,0,0,91.11,0,28.02,0.307888809,22.97,55,65.24,0.666745357,6.13,25.39,120,30.15,0.109960292,0,7.6,17.59,0.385097199,0,0,0,83.77333338,124.05,0,57.14,124.05,7.83,0,0,0,0,0,79.81,0,77.44000004,0,0,55.97,0,1.742818656,0,0,0,7.772,0,0,0,0,0,0,0,0,0,0,0,3.392,7.77,0,0,0,125.66
02/01/2020 22:00,6.81,0,25.85,10.5,4.511670698,38.4,50.79,0.113259098,6.2,0,0,91.11,0,28.02,0.307888809,22.97,55,65.24,0.666745357,6.13,25.39,120,30.15,0.109960292,0,7.6,17.59,0.425389758,0,0,0,83.77333338,124.05,0,57.14,32.87848363,7.83,0,0,0,0,0,79.81,0,77.44000004,0,0,55.97,0,1.992868944,0,0,0,7.772,0,0,0,0,0,0,0,0,0,0,0,3.392,7.77,0,0,0,125.66
