,Month,TOTAL,[31] - SISTEMA TAQUESI,[8] - SISTEMA MIGUILLA,[94] - KIL01_KIL02_KIL03,[27] - SISTEMA MISICUNI,[30] - SISTEMA ZONGO,[97] - SJA01_SJA02,[29] - SAN JOSE I_SAN JOSE II,[9] - KANATA,[25] - SISTEMA CORANI,[32] - SISTEMA QUEHATA,[95] - LAN01_LAND02_LAND03,[23] - CCERI40-41-42,[15] - BUL01,[79] - WAR03,[71] - GCH12,[35] - SBU01,[72] - SCZ01,[88] - ARJ09,[68] - GCH09,[102] - CCSUR30-31-32,[82] - CCWAR30-31-32,[6] - VHE07,[28] - ORURO II,[81] - WAR05,[75] - GBE01,[78] - WAR02,[24] - CCERI50-51-52,[33] - ALT01,[100] - SUR03,[101] - SUR04,[83] - CCWAR40-41-42,[69] - GCH10,[14] - CAR03,[10] - QOLLPANA I,[74] - UNA01,[77] - WAR01,[16] - BUL02,[90] - ARJ12,[96] - PUN01,[5] - VHE06,[26] - ORURO I,[65] - GCH02,[17] - BUL03,[7] - VHE08,[91] - ARJ13,[93] - ARJ15,[99] - SUR02,[4] - VHE05,[105] - YUNCHARA,[66] - GCH04,[92] - ARJ14,[89] - ARJ11,[11] - QOLLPANA II,[103] - CCSUR40-41-42,[84] - ARJ08,[22] - CCERI30-31-32,[104] - UYUNI_COLCHAK,[70] - GCH11
01/01/1900 00:00,1,457.0392654,0,0,4.842062394,0,188.04,0,26.7599259,2.149914688,234.4973171,0.666745357,0.083299999,125.66,0,0,79.81,0,0,0.298,57.14,0,124.05,0,0,27.49491908,0,0,0,0,0,0,124.05,55.97,0,0.562451061,0,0,0,0.32,0.5662734,0,0,0,0,0,0.31,0.32,0,0,0,0,0.302,0.298,2.88432168,77.44000004,10.88373595,83.77333338,0,0
01/01/1900 00:00,1,400.3343582,89.19,0,4.842062394,0,0,0,26.7805564,2.149914688,276.6217794,0.666745357,0.083299999,125.66,0,0,79.81,0,0,0.298,57.14,0,124.05,0,0,27.49491908,0,0,0,0,0,0,124.05,55.97,0,0.592880553,0,0,0,0.32,0.5662734,0,0,0,0,0,0.31,0.32,0,0,0,0,0.302,0.298,3.084399408,77.44000004,10.88373595,83.77333338,0,0
01/01/1900 00:00,1,299.7863395,89.19,0,4.842062394,0,176.0531301,0,26.8011869,2.149914688,0,0.666745357,0.083299999,125.66,0,0,79.81,0,0,0.298,57.14,0,124.05,0,0,27.49491908,0,0,0,0,0,0,124.05,55.97,0,0.483649521,0,0,0,0.32,0.5662734,0,0,0,0,0,0.31,0.32,0,0,0,0,0.302,0.298,2.36714916,77.44000004,10.88373595,83.77333338,0,0
01/01/1900 00:00,1,219.5803333,89.19,0,4.842062394,0,0,0,26.8218174,2.149914688,95.82649351,0.666745357,0.083299999,125.66,0,0,79.81,0,0,0.298,57.14,0,124.05,0,0,27.49491908,0,0,0,0,0,0,124.05,55.97,0,0.379704558,0,0,0,0.32,0.5662734,0,0,0,0,0,0.31,0.32,0,0,0,0,0.302,0.298,1.710100248,77.44000004,10.88373595,83.77333338,0,0
02/01/1900 00:00,1,107.0574401,5.460315479,0,4.842062394,0,0,0,26.84244802,2.149914688,67.0126542,0.666745357,0.083299999,125.66,0,0,79.81,0,0,0.298,57.14,0,124.05,0,0,27.49491908,0,0,0,0,0,0,124.05,55.97,0,0.336513891,0,0,0,0.32,0.5662734,0,0,0,0,0,0.31,0.32,0,0,0,0,0.302,0.298,1.45598412,77.44000004,10.88373595,83.77333338,0,0
02/01/1900 00:00,1,64.44595032,29.84084936,0,4.842062394,0,0,0,26.86307852,2.149914688,0,0.666745357,0.083299999,125.66,0,0,79.81,0,0,0.298,57.14,0,124.05,0,0,27.49491908,0,0,0,0,0,0,124.05,55.97,0,0.315553107,0,0,0,0.32,0.5662734,0,0,0,0,0,0.31,0.32,0,0,0,0,0.302,0.298,1.33853472,77.44000004,10.88373595,83.77333338,0,0
02/01/1900 00:00,1,58.40040387,5.460315479,0,4.842062394,0,0,0,26.88370902,2.149914688,18.31435693,0.666745357,0.083299999,125.66,0,0,79.81,0,0,0.298,57.14,0,124.05,0,0,27.49491908,0,0,0,0,0,0,124.05,55.97,0,0.275547657,0,0,0,0.32,0.5662734,0,0,0,0,0,0.31,0.32,0,0,0,0,0.302,0.298,1.127119248,77.44000004,10.88373595,83.77333338,0,0
02/01/1900 00:00,1,40.10667744,5.460315479,0,4.842062394,0,0,0,26.90433952,2.149914688,0,0.666745357,0.083299999,125.66,0,0,79.81,0,0,0.298,57.14,0,124.05,0,0,27.49491908,0,0,0,0,0,0,124.05,55.97,0,0.222635022,0,0,0,0.32,0.5662734,0,0,0,0,0,0.31,0.32,0,0,0,0,0.302,0.298,0.877255752,77.44000004,10.88373595,83.77333338,0,0
02/01/1900 00:00,1,40.12730794,5.460315479,0,4.842062394,0,0,0,26.92497002,2.149914688,0,0.666745357,0.083299999,125.66,0,0,79.81,0,0,0.298,57.14,0,124.05,0,0,27.49491908,0,0,0,0,0,0,124.05,55.97,0,0.184493763,0,0,0,0.32,0.5662734,0,0,0,0,0,0.31,0.32,0,0,0,0,0.302,0.298,0.72065376,77.44000004,10.88373595,83.77333338,0,0
02/01/1900 00:00,1,40.14793844,5.460315479,0,4.842062394,0,0,0,26.94560052,2.149914688,0,0.666745357,0.083299999,125.66,0,0,79.81,0,0,0.298,57.14,0,124.05,0,0,27.49491908,0,0,0,0,0,0,124.05,55.97,0,0.15579327,0,0,0,0.32,0.5662734,0,0,0,0,0,0.31,0.32,0,0,0,0,0.302,0.298,0.61630644,77.44000004,10.88373595,83.77333338,0,0
02/01/1900 00:00,1,34.70825346,0,0,4.842062394,0,0,0,26.96623102,2.149914688,0,0.666745357,0.083299999,125.66,0,31.98297305,79.81,0,0,1.49,57.14,0,124.05,0,1.566537245,34.66194604,0,0,0,8.698315479,0,0,124.05,55.97,0,0.123177999,0,0,0,1.6,0.5662734,0,1.566537245,0,0,0,1.55,1.6,0,0,0.297834,0,1.51,1.49,0.526642392,77.44000004,13.1020812,83.77333338,4.317395082,0
02/01/1900 00:00,1,38.93152964,4.202645679,0,4.842062394,0,0,0,26.98686152,2.149914688,0,0.666745357,0.083299999,125.66,0,31.98297305,79.81,0,0,1.49,57.14,0,124.05,0,11.7248365,34.66194604,0,0,0,10.06293916,0,0,124.05,55.97,0,0.204465576,0,0,0,1.6,0.5662734,9.79,11.7248365,0,32.24232647,0,1.55,1.6,0,0,1.11253,0,1.51,1.49,0.800106528,77.44000004,16.96,83.77333338,17.19754839,0
02/01/1900 00:00,1,138.400432,0,0,4.842062394,0,103.6509175,0,27.00749214,2.149914688,0,0.666745357,0.083299999,125.66,0,31.98297305,79.81,0,0,1.49,57.14,0,124.05,0,23.50546415,34.66194604,0,0,0,10.06293916,0,0,124.05,55.97,0,0.307810662,0,0,0,1.6,0.5662734,9.79,23.50546415,0,32.24232647,0,1.55,1.6,0,0,1.977196,0,1.51,1.49,1.296256056,77.44000004,16.96,83.77333338,31.70908541,0
02/01/1900 00:00,1,197.6704957,89.19,0,4.842062394,0,0,0,27.02812264,2.149914688,73.71035064,0.666745357,0.083299999,125.66,0,31.98297305,79.81,0,0,1.49,57.14,0,124.05,0,32.30224216,34.66194604,0,0,0,10.06293916,0,0,124.05,55.97,0,0.366605595,0,0,0,1.6,0.5662734,9.79,32.30224216,0,32.24232647,0,1.55,1.6,0,0,2.459264,0,1.51,1.49,1.631479512,77.44000004,16.96,83.77333338,37.96727933,0
02/01/1900 00:00,1,224.6459128,89.19,0,4.842062394,0,100.6651372,0,27.04875314,2.149914688,0,0.666745357,0.083299999,125.66,0,31.98297305,79.81,0,0,1.49,57.14,0,124.05,0,38.07053558,34.66194604,0,0,0,10.06293916,0,0,124.05,55.97,0,0.425389758,0,0,0,1.6,0.5662734,9.79,38.07053558,0,32.24232647,0,1.55,1.6,0,0,2.770675,0,1.51,1.49,1.992868944,77.44000004,16.96,83.77333338,41.07914613,0
02/01/1900 00:00,1,258.8963597,89.19,0,4.842062394,0,0,0,27.06938364,2.149914688,134.8949536,0.666745357,0.083299999,125.66,0,31.98297305,79.81,0,0,1.49,57.14,0,124.05,0,40.80853608,34.66194604,0,0,0,10.06293916,0,0,124.05,55.97,0,0.509534415,0,0,0,1.6,0.5662734,9.79,40.80853608,0,32.24232647,0,1.55,1.6,0,0,2.807174,0,1.51,1.49,2.536333032,77.44000004,16.96,83.77333338,43.93503516,0
02/01/1900 00:00,1,194.4016166,0,0,4.842062394,0,159.56958,0,27.09001414,2.149914688,0,0.666745357,0.083299999,125.66,0,31.98297305,79.81,0,0,1.49,57.14,0,124.05,0,40.09189978,34.66194604,0,0,0,10.06293916,0,0,124.05,55.97,0,0.618094791,0,0,0,1.6,0.5662734,9.79,40.09189978,0,32.24232647,0,1.55,1.6,0,0,2.788823,0,1.51,1.49,3.249578976,77.44000004,16.96,83.77333338,43.39389552,0
02/01/1900 00:00,1,280.2281797,89.19,0,4.842062394,0,0,0,27.11064464,2.149914688,156.1855126,0.666745357,0.083299999,125.66,0,31.98297305,79.81,0,0,1.49,57.14,0,124.05,0,37.71137077,34.66194604,0,0,0,10.06293916,0,0,124.05,55.97,0,0.720694422,0,0,0,1.6,0.5662734,9.79,37.71137077,0,32.24232647,0,1.55,1.6,0,0,2.695272,0,1.51,1.49,3.910544256,77.44000004,16.96,83.77333338,39.67217654,0
02/01/1900 00:00,1,318.8265312,89.19,0,4.842062394,0,0,0,27.13127514,2.149914688,194.7632336,0.666745357,0.083299999,125.66,0,31.98297305,79.81,0,0,1.49,57.14,0,124.05,0,32.94554679,34.66194604,0,0,0,10.06293916,0,0,124.05,55.97,0,0.824553243,0,0,0,1.6,0.5662734,9.79,32.94554679,0,32.24232647,0,1.55,1.6,0,0,2.606274,0,1.51,1.49,4.55383164,77.44000004,16.96,83.77333338,33.25902482,0
02/01/1900 00:00,1,356.4854691,0,0,4.842062394,0,41.24154098,0,27.15190564,2.149914688,280.35,0.666745357,0.083299999,125.66,0,31.98297305,79.81,0,0,1.49,57.14,0,124.05,0,25.94112319,34.66194604,0,0,0,10.06293916,0,0,124.05,55.97,0,0.875865003,0,0,0,1.6,0.5662734,9.79,25.94112319,0,32.24232647,0,1.55,1.6,0,0,2.277766,0,1.51,1.49,4.860707544,77.44000004,16.96,83.77333338,24.84232248,0
02/01/1900 00:00,1,352.4030696,89.19,0,4.842062394,0,0,0,27.17253614,2.149914688,228.298511,0.666745357,0.083299999,125.66,0,31.98297305,79.81,0,0,1.49,57.14,0,124.05,0,16.67946323,34.66194604,0,0,0,10.06293916,0,0,124.05,55.97,0,0.868412079,0,0,0,1.6,0.5662734,9.79,16.67946323,0,32.24232647,0,1.55,1.6,0,0,1.618814,0,1.51,1.49,4.816590984,77.44000004,16.96,83.77333338,15.35569533,0
02/01/1900 00:00,1,343.3794031,89.19,0,4.842062394,0,188.04,0,27.19316677,2.149914688,31.21421393,0.666745357,0.083299999,125.66,0,31.98297305,79.81,0,0,1.49,57.14,0,124.05,0,7.815775843,34.66194604,0,0,0,10.06293916,0,0,124.05,55.97,0,0.804608286,0,0,0,1.6,0.5662734,9.79,7.815775843,0,32.24232647,0,1.55,1.6,0,0,0.940801,0,1.51,1.49,4.432565784,77.44000004,16.96,83.77333338,6.511052528,0
02/01/1900 00:00,1,415.8189335,0,0,4.842062394,0,100.5337442,0,27.19316677,2.149914688,280.35,0.666745357,0.083299999,125.66,0,31.98297305,79.81,0,0,1.49,57.14,0,124.05,0,1.219151782,34.66194604,0,0,0,10.06293916,0,0,124.05,55.97,0,0.558425397,0,0,0,1.6,0.5662734,9.79,1.219151782,0,32.24232647,0,1.55,1.6,0,0,0.216138,0,1.51,1.49,2.857821816,77.44000004,16.96,83.77333338,1.265486242,0
02/01/1900 00:00,1,585.4383709,82.09255122,0,4.842062394,0,188.04,0,27.21379727,2.149914688,280.35,0.666745357,0.083299999,125.66,0,31.98297305,79.81,0,0,1.49,57.14,0,124.05,0,0,34.66194604,0,0,0,10.06293916,0,0,124.05,55.97,0,0.330452004,0,0,0,1.6,0.5662734,9.79,0,0,32.24232647,0,1.55,1.6,0,0,0,0,1.51,1.49,1.421585544,77.44000004,16.96,83.77333338,0,0
02/01/1900 00:00,1,563.230011,89.19,0,4.842062394,0,158.7135608,0,27.23442777,2.149914688,280.35,0.666745357,0.083299999,125.66,0,31.98297305,79.81,0,0,1.49,57.14,0,124.05,0,0,34.66194604,0,0,0,10.06293916,0,0,124.05,55.97,0,0.336334755,0,0,0,1.6,0.5662734,9.79,0,0,32.24232647,0,1.55,1.6,0,0,0,0,1.51,1.49,1.454962728,77.44000004,16.96,83.77333338,0,0
02/01/1900 00:00,1,503.3870807,0,0,4.842062394,0,188.04,0,27.25505827,2.149914688,280.35,0.666745357,0.083299999,125.66,0,31.98297305,79.81,0,0,1.49,57.14,0,124.05,0,0,34.66194604,0,0,0,10.06293916,0,0,124.05,55.97,0,0.385097199,0,0,0,1.6,0.5662734,9.79,0,0,32.24232647,0,1.55,1.6,0,0,0,0,1.51,1.49,1.742818656,77.44000004,16.96,83.77333338,0,0
02/01/1900 00:00,1,391.0568498,89.19,0,4.842062394,0,188.04,0,27.27568877,2.149914688,78.80913856,0.666745357,0.083299999,125.66,0,31.98297305,79.81,0,0,1.49,57.14,0,124.05,0,0,34.66194604,0,0,0,10.06293916,0,0,124.05,55.97,0,0.425389758,0,0,0,1.6,0.5662734,9.79,0,0,32.24232647,0,1.55,1.6,0,0,0,0,1.51,1.49,1.992868944,77.44000004,16.96,83.77333338,0,0
