,[27] - SISTEMA MISICUNI,[25] - SISTEMA CORANI,[31] - SISTEMA TAQUESI,[97] - SJA01_SJA02,[30] - SISTEMA ZONGO,[8] - SISTEMA MIGUILLA
2020-03-21 20:00:00,0.6503539513047848,0.8650270172542466,0.7440671664673878,0.8963603320384725,0.911540622784257,0.8928433579568535
2020-03-21 21:00:00,0.6503939312029987,0.8647326400430925,0.7471512414099617,0.8961507213400066,0.9120349778780483,0.8930732727039274
2020-03-21 22:00:00,0.6504339973660858,0.8650273089790743,0.7440083650597336,0.8965620733882577,0.912540372945381,0.8933030327645537
2020-03-21 23:00:00,0.650474149794046,0.8653225445964392,0.7467071712724509,0.8969726196508356,0.913112683031459,0.893532638138232
2020-03-22 00:00:00,0.6505143884868796,0.8656183468945696,0.7493996803489537,0.8973823601264705,0.9136846765709924,0.8937620888249622
2020-03-22 01:00:00,0.6505547134445864,0.865914715874083,0.7520855047894576,0.8977912948164323,0.9142563535639814,0.8939913848247445
2020-03-22 02:00:00,0.6505951246671663,0.8662116515349795,0.7547646445939625,0.8981994237207208,0.9148277140104261,0.8942205261375789
2020-03-22 03:00:00,0.6506356221546195,0.8665091538766414,0.7574370997624688,0.8986067468393365,0.9153987579103262,0.8944495127639656
2020-03-22 04:00:00,0.6506762059069459,0.8668072228996865,0.7601028703008852,0.8990132641722789,0.9159694852636822,0.8946783447034043
2020-03-22 05:00:00,0.6507168759241454,0.8671058586041145,0.7631334681613773,0.8994189757195482,0.916461553123101,0.8949070219558952
2020-03-22 06:00:00,0.6507576322062182,0.867405060989308,0.7657858694277959,0.8998238814811444,0.9170316473807406,0.8951355445214382
2020-03-22 07:00:00,0.6507984747531641,0.8677048300558846,0.7684315860582158,0.9002279814570674,0.9176014250918362,0.8953639124000331
2020-03-22 08:00:00,0.6508394035649833,0.868005165803227,0.7710706180526368,0.9006312756473173,0.9181708862563871,0.8955921255921803
2020-03-22 09:00:00,0.6508804186416757,0.8683060682319522,0.7740744773691334,0.901033764051894,0.9186616879296283,0.8958201840973795
2020-03-22 10:00:00,0.6509215199832413,0.8686075373420603,0.7770716520496311,0.9014354466707976,0.9190142740296674,0.8960480879156308
2020-03-22 11:00:00,0.6509627075896801,0.8689095731329342,0.78006214209413,0.901836323504028,0.919298113969253,0.8962758370469341
2020-03-22 12:00:00,0.6510039814609921,0.869212175605191,0.7793066451798588,0.9022363945515852,0.9198663089449991,0.8965034314912896
2020-03-22 13:00:00,0.6510453415968245,0.8695153447588307,0.7822837659582692,0.9012988916429594,0.9198976254512471,0.8967308712491973
2020-03-22 14:00:00,0.6510867879975302,0.8698190805932362,0.7794612473872197,0.9003605829486604,0.9204651873339044,0.896958156320157
2020-03-22 15:00:00,0.6511283206631089,0.8697653933018057,0.7820534869355579,0.9007582366391982,0.9210324326700173,0.8971852867041686
2020-03-22 16:00:00,0.651169939593561,0.8696252765473036,0.7850105538059717,0.901155084544063,0.9215210185148204,0.8974122624012325
2020-03-22 17:00:00,0.6512116447888862,0.869388658046687,0.7879609360403868,0.9015511266632547,0.9220092878130792,0.8976390834113485
2020-03-22 18:00:00,0.6512534362490847,0.8690592859304999,0.7846843669819997,0.9006095948262632,0.9211517547885143,0.8978657497350164
2020-03-22 19:00:00,0.6512953139741563,0.8687304804950783,0.781401113287614,0.8996672572035986,0.9197654857659605,0.8980922613717366
2020-03-22 20:00:00,0.6513372779641012,0.8684022417410396,0.7843314416140323,0.8987241137952608,0.9176557803901566,0.8983186183215088
2020-03-22 21:00:00,0.6513793282189193,0.8680600416168966,0.7814621305909907,0.89778016460125,0.9182211264443757,0.898544820584333
2020-03-22 22:00:00,0.6514214647386107,0.8677329362250066,0.7833354584883728,0.8981721777920759,0.9187861559520507,0.8987708681602095
2020-03-22 23:00:00,0.6514636875231752,0.8675555007608344,0.7858742209546292,0.8985633851972288,0.9193508689131812,0.8989967610496381
2020-03-23 00:00:00,0.6515059965726129,0.8678649034072177,0.7838430190190299,0.8989537868167083,0.9199152653251399,0.8992224992521188
2020-03-23 01:00:00,0.6515483918869237,0.8681748727343663,0.7867399241713631,0.8993433826505148,0.9203353561188761,0.8994480827676518
2020-03-23 02:00:00,0.6515908734661079,0.868485408742898,0.7896301446876974,0.8997321726986482,0.920821103350669,0.8996735115962367
2020-03-23 03:00:00,0.6516334413101652,0.8687965114328128,0.792513680568033,0.9001201569611084,0.9213066974647328,0.8998987857378736
2020-03-23 04:00:00,0.6516760954190958,0.8691081808034931,0.7950221198535301,0.9005073354378955,0.921869827690514,0.9001239051930627
2020-03-23 05:00:00,0.6517188357928995,0.8694204168555563,0.7975246495028715,0.9008937081290095,0.9224326413697507,0.9003488699613039
2020-03-23 06:00:00,0.6517616624315765,0.8697332195883852,0.8000212695159196,0.9012792750344505,0.9229951385024431,0.9005736800425972
2020-03-23 07:00:00,0.6518045753351267,0.8700465890025971,0.8025119798987214,0.9016640361542182,0.9235573190859638,0.9007983354369425
2020-03-23 08:00:00,0.65184757450355,0.870360525098192,0.8022857730775725,0.9020479914883128,0.9241191831229402,0.9010228361443401
2020-03-23 09:00:00,0.6518906599368466,0.8706750278745525,0.8029549232990315,0.9024311410367343,0.9246807306133722,0.9012471821652897
2020-03-23 10:00:00,0.6519338316350163,0.8709900973322959,0.80009483502402,0.9028134847994825,0.9252419615572597,0.9014713734992913
2020-03-23 11:00:00,0.6519770895980593,0.8713057334714224,0.7990471152871427,0.9031950227765577,0.9258028759546029,0.901695410146345
2020-03-23 12:00:00,0.6520204338259755,0.8716219362913145,0.7981652834742086,0.9035757549679597,0.9263634738054015,0.9019192921064508
2020-03-23 13:00:00,0.652063864318765,0.8719387057925895,0.7951890182870035,0.9039556813736886,0.9269237551070286,0.9021430193796087
2020-03-23 14:00:00,0.6521073810764275,0.8722560419752475,0.7922060684637995,0.9043348019937444,0.9274837198621113,0.9023665919663187
2020-03-23 15:00:00,0.6521509840989634,0.8722429096202278,0.794649501762852,0.9047131168281269,0.9280433680706496,0.9025900098660808
2020-03-23 16:00:00,0.6521946733863725,0.8721837800927482,0.7974461373870209,0.9050906258768363,0.9285269716492398,0.902813273078895
2020-03-23 17:00:00,0.6522384489386548,0.8720157037901999,0.8002360883751908,0.9054673291398726,0.9290104221101297,0.9030363816047613
2020-03-23 18:00:00,0.6522823107558102,0.871699932021648,0.7967990880705588,0.9058432266159658,0.9280746430483829,0.9032593354436796
2020-03-23 19:00:00,0.6523262588374861,0.8713847269344791,0.7933554031299278,0.904881550135876,0.9268873350818226,0.9034821345961503
2020-03-23 20:00:00,0.652370293184035,0.8710700885280758,0.789905033553298,0.903919067870113,0.9264356415114816,0.9037047790616731
2020-03-23 21:00:00,0.6524144137954574,0.8707560168030555,0.7926682459974723,0.9042925479891868,0.9260559432618366,0.9039272688402479
2020-03-23 22:00:00,0.6524586206717529,0.8704504253367061,0.7954247738056479,0.9046652223225875,0.9265386281315401,0.9041496039318748
2020-03-23 23:00:00,0.6525029138129216,0.8707728616493415,0.7919543503210215,0.9050370908703153,0.926822820295555,0.9043717843365537
