TIMESTAMP,ANGOSTURA,CARABUCO,CHOJLLA,CHOQUETANGA,MIGUILLA,VALLE DE ZONGO - BOTIJILACA,VALLE DE ZONGO - CAHUA,VALLE DE ZONGO - CHURURAQUI,VALLE DE ZONGO - CUTICUCHO,VALLE DE ZONGO - HARCA,VALLE DE ZONGO - HUAJI,VALLE DE ZONGO - SAINANI,VALLE DE ZONGO - SANTA ROSA_1,VALLE DE ZONGO - SANTA ROSA_2,VALLE DE ZONGO - TIQUIMANI,VALLE DE ZONGO - ZONGO,YANACACHI
2020-02-23 15:00:00+00:00,0.601556953,2.523826275,1.246745596,0.91966788,8.771232442,3.580883305,2.951371892,3.121412133,2.792973981,3.420683292,2.408898286,2.989291904,2.808768277,8.077744563,1.300540645,0.086105268,1.125681278
2020-02-23 16:00:00+00:00,0.601556953,2.523826275,1.246745596,0.91966788,8.771232442,3.580883305,2.951371892,3.121412133,2.792973981,3.420683292,2.408898286,2.989291904,2.808768277,8.077744563,1.300540645,0.086105268,1.125681278
2020-02-23 17:00:00+00:00,0.601556953,2.523826275,1.246745596,0.91966788,8.771232442,3.580883305,2.951371892,3.121412133,2.792973981,3.420683292,2.408898286,2.989291904,2.808768277,8.077744563,1.300540645,0.086105268,1.125681278
2020-02-23 18:00:00+00:00,0.601556953,2.523826275,1.246745596,0.91966788,8.771232442,3.580883305,2.951371892,3.121412133,2.792973981,3.420683292,2.408898286,2.989291904,2.808768277,8.077744563,1.300540645,0.086105268,1.125681278
2020-02-23 19:00:00+00:00,0.601556953,2.523826275,1.246745596,0.91966788,8.771232442,3.580883305,2.951371892,3.121412133,2.792973981,3.420683292,2.408898286,2.989291904,2.808768277,8.077744563,1.300540645,0.086105268,1.125681278
2020-02-23 20:00:00+00:00,0.601556953,2.523826275,1.246745596,0.91966788,8.771232442,3.580883305,2.951371892,3.121412133,2.792973981,3.420683292,2.408898286,2.989291904,2.808768277,8.077744563,1.300540645,0.086105268,1.125681278
2020-02-23 21:00:00+00:00,0.601556953,2.523826275,1.246745596,0.91966788,8.771232442,3.580883305,2.951371892,3.121412133,2.792973981,3.420683292,2.408898286,2.989291904,2.808768277,8.077744563,1.300540645,0.086105268,1.125681278
2020-02-23 22:00:00+00:00,0.601556953,2.523826275,1.246745596,0.91966788,8.771232442,3.580883305,2.951371892,3.121412133,2.792973981,3.420683292,2.408898286,2.989291904,2.808768277,8.077744563,1.300540645,0.086105268,1.125681278
2020-02-23 23:00:00+00:00,0.618744295,2.573529637,1.270103827,0.935662104,8.943970061,3.727271616,3.071008403,3.248334802,2.906202656,3.558366129,2.506545142,3.11119074,2.922857511,8.40585411,1.35340815,0.089549479,1.147962404
2020-02-24 00:00:00+00:00,0.618744295,2.573529637,1.270103827,0.935662104,8.943970061,3.727271616,3.071008403,3.248334802,2.906202656,3.558366129,2.506545142,3.11119074,2.922857511,8.40585411,1.35340815,0.089549479,1.147962404
2020-02-24 01:00:00+00:00,0.618744295,2.573529637,1.270103827,0.935662104,8.943970061,3.727271616,3.071008403,3.248334802,2.906202656,3.558366129,2.506545142,3.11119074,2.922857511,8.40585411,1.35340815,0.089549479,1.147962404
2020-02-24 02:00:00+00:00,0.618744295,2.573529637,1.270103827,0.935662104,8.943970061,3.727271616,3.071008403,3.248334802,2.906202656,3.558366129,2.506545142,3.11119074,2.922857511,8.40585411,1.35340815,0.089549479,1.147962404
2020-02-24 03:00:00+00:00,0.618744295,2.573529637,1.270103827,0.935662104,8.943970061,3.727271616,3.071008403,3.248334802,2.906202656,3.558366129,2.506545142,3.11119074,2.922857511,8.40585411,1.35340815,0.089549479,1.147962404
2020-02-24 04:00:00+00:00,0.618744295,2.573529637,1.270103827,0.935662104,8.943970061,3.727271616,3.071008403,3.248334802,2.906202656,3.558366129,2.506545142,3.11119074,2.922857511,8.40585411,1.35340815,0.089549479,1.147962404
2020-02-24 05:00:00+00:00,0.618744295,2.573529637,1.270103827,0.935662104,8.943970061,3.727271616,3.071008403,3.248334802,2.906202656,3.558366129,2.506545142,3.11119074,2.922857511,8.40585411,1.35340815,0.089549479,1.147962404
2020-02-24 06:00:00+00:00,0.618744295,2.573529637,1.270103827,0.935662104,8.943970061,3.727271616,3.071008403,3.248334802,2.906202656,3.558366129,2.506545142,3.11119074,2.922857511,8.40585411,1.35340815,0.089549479,1.147962404
