,AGUAS CALIENTES II ARENALES,MOLINEROS,CACHUELA ESPERANZA,CHEPETE,EL BALA,MIGUILLAS - PALILLADA,MUNECAS,PH_MADERA,OQUITAS
1980-03-12 00:00:00,4.252559216,2.137070473,2.099378858,2.149216376,4.130273139,48.58781436,1.37965713,1.271536899,1.539621891
1980-03-13 00:00:00,7.966137296,1.869034208,2.088569454,2.031501904,4.00702353,45.27320876,1.292355832,1.266148207,1.637818718
1980-03-14 00:00:00,10.24620836,1.633207305,2.082881167,1.879685435,4.328789684,41.64231881,1.205361393,1.261870746,1.549114024
1980-03-15 00:00:00,7.951405988,1.428419496,2.073307528,1.802360355,3.428408956,40.31632557,1.149697227,1.254198863,1.392043376
1980-03-16 00:00:00,7.534116155,1.338218879,2.061981328,1.791540745,2.974925664,40.16101478,1.139785691,1.250932331,1.659570118
1980-03-17 00:00:00,8.060456564,1.669989712,2.053072765,1.861933016,2.828155138,40.8645568,1.146955956,1.243174569,2.06116916
1980-03-18 00:00:00,9.752053186,2.036310442,2.074776922,1.941971954,2.820628444,42.3981848,1.14915511,1.247088142,2.325207881
1980-03-19 00:00:00,9.895112178,2.162546296,2.117930252,1.94716521,2.862966096,43.02765785,1.139079916,1.265032041,2.365111442
1980-03-20 00:00:00,8.00663624,2.139411008,2.13598006,1.948635135,2.741598161,43.38395907,1.146863898,1.272144347,2.195461582
1980-03-21 00:00:00,6.365626834,1.974079218,2.131056497,1.897981669,3.091589416,42.48244675,1.130579931,1.268129691,1.88803085
1980-03-22 00:00:00,4.904990873,1.909633488,2.121801127,1.903588484,2.817805934,44.21427155,1.166768799,1.257361046,1.592649858
1980-03-23 00:00:00,3.91118667,1.769102366,2.12093856,2.003782391,2.661627041,50.57008441,1.285287854,1.251975156,1.386261862
1980-03-24 00:00:00,3.354314044,1.649005916,2.11588132,2.046774273,3.848962964,53.89548701,1.331193914,1.252592475,1.228800027
1980-03-25 00:00:00,4.87917462,1.612835648,2.099401754,2.144119508,3.982561776,56.98871622,1.330150594,1.244399748,1.256720373
1980-03-26 00:00:00,7.950992734,1.78180427,2.084277254,2.391066229,3.567652789,65.7733271,1.32936299,1.233048676,1.831828145
1980-03-27 00:00:00,7.920533444,1.795712449,2.075980073,2.451320774,4.184841668,66.08727083,1.479283918,1.226932496,2.029782841
1980-03-28 00:00:00,6.351697726,1.687579733,2.07000251,2.407074538,7.092027089,63.80645976,1.569326486,1.223200349,1.709907556
1980-03-29 00:00:00,5.617611836,1.547957819,2.061316518,2.307072757,9.050849111,59.20716136,1.484183428,1.216543114,1.568861522
1980-03-30 00:00:00,4.913474745,1.400540123,2.058639025,2.157152147,5.104039129,55.33337651,1.362861731,1.209421064,1.461062053
1980-03-31 00:00:00,4.08903197,1.420623714,2.058414005,2.016017219,4.183900831,51.90846024,1.274793286,1.204542218,1.326294914
1980-04-01 00:00:00,3.444865403,1.743518519,2.051769902,1.961801937,3.671144826,49.50593746,1.25121631,1.191988458,1.336552223
1980-04-02 00:00:00,3.242613777,1.730186471,2.048096443,1.928217703,3.191318106,47.33641861,1.209913131,1.177651696,1.362451562
1980-04-03 00:00:00,2.999644426,1.450024434,2.045272653,1.860145921,2.892132034,44.20641918,1.132779084,1.167348956,1.239658761
1980-04-04 00:00:00,2.685036188,1.297556584,2.039598187,1.796557506,2.663508714,41.70876193,1.088949435,1.161598373,1.095757578
1980-04-05 00:00:00,2.952703574,1.297565586,2.041773285,1.787366731,2.555312493,41.09529564,1.060636606,1.171505105,1.154610024
1980-04-06 00:00:00,3.191783471,1.286610082,2.047531988,1.739035055,2.88742785,40.51029417,1.023588534,1.195814837,1.18263932
1980-04-07 00:00:00,2.83718678,1.148536523,2.051258685,1.637291769,3.68713905,38.63523915,0.97779192,1.210262278,1.051882751
1980-04-08 00:00:00,2.348287231,1.016341307,2.052708932,1.536900526,2.738775651,36.52189495,0.928599403,1.205596946,0.932576075
1980-04-09 00:00:00,1.96352296,0.923602109,2.043850363,1.45384554,2.317280807,34.7080733,0.884487444,1.199012896,0.842253425
1980-04-10 00:00:00,1.659965634,0.85500733,1.736013628,1.385561832,2.074544936,33.15043518,0.844519099,1.107928515,0.769624755
1980-04-11 00:00:00,1.442224256,0.802128344,1.663655012,1.33029598,1.925892737,31.78231096,0.809134201,1.082713668,0.717767689
1980-04-12 00:00:00,1.432024162,0.759723251,1.606375066,1.280300626,1.826164046,30.54412833,0.776970296,1.060963212,0.730344733
1980-04-13 00:00:00,1.43073578,0.72730054,1.559022116,1.23469147,1.733962049,29.49342101,0.748595073,1.033755327,0.72428823
1980-04-14 00:00:00,1.311040254,0.701812114,1.596612758,1.204596891,1.766891334,28.97199353,0.726130971,1.02858033,0.674962016
1980-04-15 00:00:00,1.197589733,0.679496013,1.625396972,1.169780188,1.880732575,28.32175701,0.703210672,1.028631879,0.633547907
1980-04-16 00:00:00,1.074712146,0.661680041,1.590393956,1.124495561,1.69068356,27.27052116,0.679276717,1.014693604,0.596961732
1980-04-17 00:00:00,0.954637398,0.644162937,1.55592658,1.082884054,1.595659053,26.31079561,0.656736924,0.996961609,0.564246197
1980-04-18 00:00:00,0.844264407,0.626000386,1.48004286,1.048651608,1.51098375,25.43797463,0.639617277,0.966786221,0.534113738
1980-04-19 00:00:00,0.746485956,0.609463606,1.328033563,1.016700053,1.427249283,24.62238535,0.623450939,0.914152675,0.507993194
1980-04-20 00:00:00,0.669365369,0.594022377,1.288607334,0.981989507,1.375503264,23.84273575,0.602963007,0.892041416,0.486606104
1980-04-21 00:00:00,0.606703829,0.580032279,1.246305553,0.949460207,1.323757245,23.11593863,0.583460091,0.869158368,0.46757964
1980-04-22 00:00:00,0.548233175,0.567720165,1.208098025,0.923396818,1.258839512,22.45090341,0.565554887,0.848691587,0.451950512
1980-04-23 00:00:00,0.493528,0.558009645,1.174156204,0.899377191,1.21085684,21.81908975,0.548508886,0.827211039,0.438280995
1980-04-24 00:00:00,0.456821275,0.548247814,1.143168531,0.871697406,1.176986719,21.19324087,0.531924197,0.801810245,0.426152154
1980-04-25 00:00:00,0.423653953,0.537447145,1.113851483,0.847488649,1.145939108,20.61926293,0.520322893,0.778503952,0.414877185
1980-04-26 00:00:00,0.552954,0.527365741,1.396453312,0.828312415,1.250371982,20.14668625,0.513695768,0.852971192,0.409448042
1980-04-27 00:00:00,0.677717972,0.518793081,1.624982488,0.808260152,1.385852468,19.66308604,0.502893319,1.084881722,0.405182998
1980-04-28 00:00:00,0.607172994,0.561272891,1.559440854,0.809223712,1.380207448,19.41369784,0.51104144,0.884511573,0.403779672
1980-04-29 00:00:00,0.699540242,0.77844393,1.509822762,0.885516914,1.542031361,20.97518664,0.557698281,0.868756834,0.511068941
1980-04-30 00:00:00,1.348434927,0.926833848,1.680404089,0.96760274,1.6737485,21.95786527,0.576849332,0.94805338,0.735071732
1980-05-01 00:00:00,1.790699918,0.863926569,2.050232263,0.955165235,1.893904289,21.04366835,0.576971053,1.083219689,0.758877566
1980-05-02 00:00:00,1.553270609,0.771302598,2.107926466,0.916160841,1.814874006,20.1860991,0.566635029,1.123209545,0.652555005
1980-05-03 00:00:00,1.323343084,0.702565586,2.058091256,0.872634784,1.616357461,19.44835396,0.540685013,1.137795884,0.582997336
1980-05-04 00:00:00,1.14195595,0.651753472,1.996948311,0.83072584,1.405610039,18.74171629,0.516847207,1.128721143,0.533409604
1980-05-05 00:00:00,0.993976798,0.612092207,1.948036947,0.795572298,1.224969391,18.11715097,0.495843752,1.099075927,0.495510618
1980-05-06 00:00:00,0.936775079,0.580267233,1.705334581,0.765122971,1.118654843,17.55140291,0.477448597,1.011774506,0.464576912
1980-05-07 00:00:00,0.881452453,0.554309799,1.544440614,0.742910433,1.049973764,17.19223255,0.462997598,0.946328938,0.438058434
1980-05-08 00:00:00,0.778386774,0.533260288,1.461527918,0.724748102,0.986937704,16.90222344,0.451416751,0.894870073,0.415220204
1980-05-09 00:00:00,0.693443522,0.517115998,1.39331543,0.703956643,1.001050255,16.53512521,0.438570623,0.849826814,0.396711217
1980-05-10 00:00:00,0.619434499,0.502675797,1.334484491,0.682323088,1.084784722,16.11781712,0.425127144,0.80850572,0.381254164
1980-05-11 00:00:00,0.558926744,0.488221193,1.289470053,0.661849972,0.985056031,15.66094517,0.412502978,0.775769756,0.368389219
1980-05-12 00:00:00,0.547914726,0.474984568,1.249293716,0.646965111,0.967180134,15.24227802,0.401795655,0.75157282,0.361776774
1980-05-13 00:00:00,0.533813023,0.463143261,1.208743625,0.632589155,1.061263804,14.86181566,0.391804336,0.759934384,0.356648909
1980-05-14 00:00:00,0.484698939,0.454322145,1.172736767,0.619334497,1.046210417,14.51389533,0.382883954,0.722628453,0.349214028
1980-05-15 00:00:00,0.550642206,0.452487526,1.142280846,0.622210652,0.95400842,14.24374364,0.381329203,0.712984603,0.374122248
1980-05-16 00:00:00,1.248133192,0.633757459,1.127525884,0.66549183,1.076317192,14.36115166,0.389674737,0.717348393,0.662316053
1980-05-17 00:00:00,2.286991862,0.772515175,1.148998648,0.689589414,1.316230552,14.36915503,0.392586826,0.757422305,0.944018475
1980-05-18 00:00:00,2.670912607,0.684967464,1.153392187,0.664269454,1.547676381,13.96717416,0.38262517,0.786114815,0.85363271
1980-05-19 00:00:00,2.521436015,0.626765561,1.128144474,0.634441768,1.267307043,13.57448023,0.370123747,0.794055267,0.721941402
